ForagerWord,Result
brown recluse spider,NOT IN AZ
brown thrasher,NOT IN AZ
brown trout,NOT IN AZ
bruin,NOT IN AZ
bryozoan,NOT IN AZ
buck,NOT IN AZ
bucking bronco,NOT IN AZ
budgerigar,IN AZ
budgie,NOT IN AZ
buffalo,IN AZ
bufflehead,NOT IN AZ
bufo,NOT IN AZ
bug,NOT IN AZ
bulbul,NOT IN AZ
bull,NOT IN AZ
bull mastiff,NOT IN AZ
bull shark,IN AZ
bull snake,NOT IN AZ
bull terrier,IN AZ
bulldog,IN AZ
bullfinch,NOT IN AZ
bullfrog,IN AZ
bullhead,NOT IN AZ
bullhead catfish,NOT IN AZ
bullmastiff,IN AZ
bullock,NOT IN AZ
bullsnake,IN AZ
bumblebee,IN AZ
bunny,NOT IN AZ
bunny rabbit,NOT IN AZ
bunting,NOT IN AZ
burbot,NOT IN AZ
burmese mountain dog,NOT IN AZ
burro,NOT IN AZ
bush squirrel,NOT IN AZ
bushbaby,NOT IN AZ
bushbuck,NOT IN AZ
bushmaster,NOT IN AZ
bustard,NOT IN AZ
butterfish,NOT IN AZ
butterflies,NOT IN AZ
butterfly,IN AZ
butterflyfish,NOT IN AZ
buzzard,NOT IN AZ
cactus wren,IN AZ
caddis fly,NOT IN AZ
caecilian,IN AZ
caiman,IN AZ
cairn terrier,IN AZ
calf,NOT IN AZ
calico cat,NOT IN AZ
camel,IN AZ
cameo,NOT IN AZ
canary,NOT IN AZ
canebrake rattlesnake,NOT IN AZ
canine,NOT IN AZ
canis lupus,NOT IN AZ
cankerworm,NOT IN AZ
canvasback,IN AZ
canvasback duck,NOT IN AZ
cape buffalo,NOT IN AZ
capelin,NOT IN AZ
capercaillie,NOT IN AZ
capibara,NOT IN AZ
caplin,NOT IN AZ
capon,NOT IN AZ
capuchin,IN AZ
capuchin monkey,NOT IN AZ
capybara,IN AZ
carabao,NOT IN AZ
caracal,IN AZ
caracara,NOT IN AZ
cardinal,IN AZ
caribou,IN AZ
carp,IN AZ
carpenter ant,IN AZ
carpenter bee,NOT IN AZ
carpet beetle,IN AZ
carrier pigeon,NOT IN AZ
carrion crow,NOT IN AZ
carthorse,NOT IN AZ
cartilaginous fish,NOT IN AZ
cassowary,IN AZ
cat,IN AZ
catamount,NOT IN AZ
catbird,NOT IN AZ
caterpillar,IN AZ
catfish,IN AZ
cattle,NOT IN AZ
cattle egret,NOT IN AZ
cavalier king charles spaniel,IN AZ
cavy,NOT IN AZ
cayote,NOT IN AZ
cedar waxwing,IN AZ
centipede,IN AZ
cephalopod,NOT IN AZ
ceratopsian,IN AZ
cervid,NOT IN AZ
cetacean,NOT IN AZ
chachalaca,NOT IN AZ
chaffinch,NOT IN AZ
chain pickerel,IN AZ
chambered nautilus,NOT IN AZ
chameleon,IN AZ
chamois,IN AZ
channel catfish,NOT IN AZ
char,NOT IN AZ
charolais,NOT IN AZ
cheep,NOT IN AZ
cheetah,IN AZ
chetah,NOT IN AZ
chewbacca,NOT IN AZ
chick,NOT IN AZ
chickadee,IN AZ
chicken,IN AZ
chigger,IN AZ
chihuahua,IN AZ
chimaera,IN AZ
chimp,NOT IN AZ
chimpanzee,IN AZ
chinch bug,NOT IN AZ
chinchilla,IN AZ
chinook,IN AZ
chinook salmon,IN AZ
chipmunk,IN AZ
chipping sparrow,IN AZ
chocolate labrador,NOT IN AZ
chough,NOT IN AZ
chow chow,IN AZ
christmas tree worm,NOT IN AZ
chub,NOT IN AZ
chum salmon,NOT IN AZ
cicada,IN AZ
cicada killer,NOT IN AZ
cichlid,IN AZ
cichlid fish,NOT IN AZ
civet,NOT IN AZ
civet cat,NOT IN AZ
clam,NOT IN AZ
cleaner shrimp,NOT IN AZ
clown fish,NOT IN AZ
clownfish,IN AZ
clydesdale,NOT IN AZ
coati,IN AZ
coatimundi,NOT IN AZ
cobia,NOT IN AZ
cobra,NOT IN AZ
cochineal,NOT IN AZ
cock,NOT IN AZ
cockatiel,IN AZ
cockatoo,IN AZ
cocker,NOT IN AZ
cocker spaniel,IN AZ
cockerel,NOT IN AZ
cockle,IN AZ
cockroach,IN AZ
cockroaches,NOT IN AZ
cod,NOT IN AZ
codfish,IN AZ
codling,NOT IN AZ
codling moth,IN AZ
coelacanth,IN AZ
coho,NOT IN AZ
coho salmon,NOT IN AZ
collared lizard,NOT IN AZ
collared peccary,IN AZ
collie,IN AZ
colobus,NOT IN AZ
colobus monkey,NOT IN AZ
colt,NOT IN AZ
colugo,NOT IN AZ
comb jelly,NOT IN AZ
common murre,NOT IN AZ
common scoter,NOT IN AZ
common yellowthroat,IN AZ
conch,NOT IN AZ
condor,NOT IN AZ
coney,NOT IN AZ
conger,NOT IN AZ
conger eel,IN AZ
constrictor,NOT IN AZ
conure,IN AZ
coonhound,NOT IN AZ
coot,NOT IN AZ
cooter,NOT IN AZ
copepod,NOT IN AZ
copperhead,IN AZ
copperhead snake,NOT IN AZ
coq,NOT IN AZ
coral,IN AZ
coral reef snake,NOT IN AZ
coral snake,IN AZ
corbina,NOT IN AZ
corgi,NOT IN AZ
cormorant,IN AZ
corn borer,NOT IN AZ
corn borer moth,NOT IN AZ
corn earworm,IN AZ
corn snake,IN AZ
corncrake,NOT IN AZ
cornish game hen,NOT IN AZ
corydoras,NOT IN AZ
cotton bollworm,NOT IN AZ
cottonmouth,IN AZ
cottonmouth moccasin,NOT IN AZ
cottontail,NOT IN AZ
cottontail rabbit,NOT IN AZ
cougar,IN AZ
courser,NOT IN AZ
cow,IN AZ
cowbird,NOT IN AZ
cownose ray,NOT IN AZ
cowrie,NOT IN AZ
cowry,NOT IN AZ
cows,NOT IN AZ
coyote,IN AZ
coypu,NOT IN AZ
crab,IN AZ
crane,IN AZ
cranefly,NOT IN AZ
crappie,NOT IN AZ
crawdad,NOT IN AZ
crawfish,NOT IN AZ
crawler,NOT IN AZ
crayfish,IN AZ
crevalle jack,NOT IN AZ
cricket,IN AZ
crinoid,NOT IN AZ
croaker,NOT IN AZ
croc,NOT IN AZ
crocodile,IN AZ
crossbill,NOT IN AZ
crow,IN AZ
crucian carp,IN AZ
crustacean,NOT IN AZ
cub,NOT IN AZ
cuckoo,IN AZ
culex pipiens,NOT IN AZ
curlew,NOT IN AZ
cuscus,NOT IN AZ
cusk,NOT IN AZ
cuttlefish,IN AZ
cutworm,NOT IN AZ
cygnet,NOT IN AZ
dace,NOT IN AZ
dachshund,IN AZ
daddy longlegs,NOT IN AZ
dairy cattle,NOT IN AZ
dairy cow,NOT IN AZ
dall sheep,NOT IN AZ
dalmatian,IN AZ
damsel fish,NOT IN AZ
damselfish,IN AZ
damselfly,NOT IN AZ
daphnia,NOT IN AZ
darkling beetle,IN AZ
darning needle,NOT IN AZ
darter,NOT IN AZ
darwin frog,NOT IN AZ
daschund,NOT IN AZ
dear,NOT IN AZ
decapod,NOT IN AZ
deer,IN AZ
deerhound,NOT IN AZ
degu,NOT IN AZ
desert tortoise,IN AZ
devil,NOT IN AZ
devon rex,IN AZ
diamondback,NOT IN AZ
diamondback rattlesnake,NOT IN AZ
diamondback terrapin,NOT IN AZ
dik-dik,IN AZ
dingo,IN AZ
dinosaur,NOT IN AZ
dinosaurs,IN AZ
diplodocus,IN AZ
doberman,NOT IN AZ
doberman pinscher,IN AZ
dodo,IN AZ
dodo bird,NOT IN AZ
doe,NOT IN AZ
dog,IN AZ
dogfish,NOT IN AZ
doggie,NOT IN AZ
doggy,NOT IN AZ
dogs,NOT IN AZ
dolphin,IN AZ
dolphinfish,NOT IN AZ
domingo,NOT IN AZ
donkey,IN AZ
doodlebug,NOT IN AZ
dormouse,IN AZ
dory,NOT IN AZ
dotterel,NOT IN AZ
double-crested cormorant,NOT IN AZ
dove,NOT IN AZ
downy woodpecker,IN AZ
dragon,NOT IN AZ
dragon lizard,NOT IN AZ
dragonfly,IN AZ
drake,NOT IN AZ
dray horse,NOT IN AZ
dromedary,NOT IN AZ
drosophila,NOT IN AZ
drum fish,IN AZ
duck,IN AZ
duckbill,NOT IN AZ
duckbilled platypus,NOT IN AZ
duckling,NOT IN AZ
ducks,NOT IN AZ
dugong,IN AZ
duiker,NOT IN AZ
dung beetle,IN AZ
dungeness crab,IN AZ
dunlin,NOT IN AZ
dusky shark,IN AZ
dwarf hamster,IN AZ
dwarf rabbit,NOT IN AZ
dwarf sperm whale,NOT IN AZ
eagle,IN AZ
eagle ray,IN AZ
eaglet,NOT IN AZ
eared grebe,IN AZ
earthworm,IN AZ
earwig,IN AZ
eastern cottontail,IN AZ
eastern indigo snake,IN AZ
eastern kingbird,IN AZ
eastern lowland gorilla,IN AZ
eastern meadowlark,IN AZ
eastern newt,NOT IN AZ
eastern toebiter,NOT IN AZ
echidna,IN AZ
echinoderm,NOT IN AZ
eel,IN AZ
eelpout,IN AZ
eels,NOT IN AZ
egret,IN AZ
