ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
black headed gull,NOT IN VOCAB,,,,,
black lab,NOT IN VOCAB,,,,,
black labrador,NOT IN VOCAB,,,,,
black mamba,NOT IN VOCAB,,,,,
black panther,NOT IN VOCAB,,,,,
black squirrel,NOT IN VOCAB,,,,,
black widow,NOT IN VOCAB,,,,,
black-capped chickadee,NOT IN VOCAB,,,,,
blackbird,IN VOCAB,,,,,
blackbuck,NOT IN VOCAB,,,,,
blackcap,NOT IN VOCAB,,,,,
blackfish,NOT IN VOCAB,,,,,
blackfly,NOT IN VOCAB,,,,,
blackpoll,NOT IN VOCAB,,,,,
blacktail,NOT IN VOCAB,,,,,
blacktail deer,NOT IN VOCAB,,,,,
blacktip reef shark,NOT IN VOCAB,,,,,
blacktip shark,NOT IN VOCAB,,,,,
blenny,NOT IN VOCAB,,,,,
blister beetle,NOT IN VOCAB,,,,,
blobfish,NOT IN VOCAB,,,,,
bloodhound,NOT IN VOCAB,,,,,
bloodworm,NOT IN VOCAB,,,,,
blowfish,NOT IN VOCAB,,,,,
blowfly,NOT IN VOCAB,,,,,
blubber fish,NOT IN VOCAB,,,,,
blue catfish,NOT IN VOCAB,,,,,
blue heron,NOT IN VOCAB,,,,,
blue jay,NOT IN VOCAB,,,,,
blue marlin,NOT IN VOCAB,,,,,
blue shark,NOT IN VOCAB,,,,,
blue whale,NOT IN VOCAB,,,,,
bluebill,NOT IN VOCAB,,,,,
bluebird,IN VOCAB,,,,,
bluefin,NOT IN VOCAB,,,,,
bluefin tuna,NOT IN VOCAB,,,,,
bluefish,NOT IN VOCAB,,,,,
bluefooted booby,NOT IN VOCAB,,,,,
bluegill,NOT IN VOCAB,,,,,
bluetick,NOT IN VOCAB,,,,,
boa,IN VOCAB,,,,,
boa constrictor,NOT IN VOCAB,,,,,
boar,IN VOCAB,,,,,
bobcat,NOT IN VOCAB,,,,,
bobolink,NOT IN VOCAB,,,,,
bobtail,NOT IN VOCAB,,,,,
bobwhite,NOT IN VOCAB,,,,,
bobwhite quail,NOT IN VOCAB,,,,,
boll weevil,NOT IN VOCAB,,,,,
bollworm,NOT IN VOCAB,,,,,
bolognese,NOT IN VOCAB,,,,,
bombardier beetle,NOT IN VOCAB,,,,,
bonefish,NOT IN VOCAB,,,,,
bongo,NOT IN VOCAB,,,,,
bonito,NOT IN VOCAB,,,,,
bonnethead,NOT IN VOCAB,,,,,
bonobo,NOT IN VOCAB,,,,,
bony fish,NOT IN VOCAB,,,,,
booby,IN VOCAB,,,,,
border collie,NOT IN VOCAB,,,,,
borzoi,NOT IN VOCAB,,,,,
boston terrier,NOT IN VOCAB,,,,,
botfly,NOT IN VOCAB,,,,,
boto,NOT IN VOCAB,,,,,
bottlenose,NOT IN VOCAB,,,,,
bottlenose dolphin,NOT IN VOCAB,,,,,
bottlenose whale,NOT IN VOCAB,,,,,
bovine,NOT IN VOCAB,,,,,
bowerbird,NOT IN VOCAB,,,,,
bowfin,NOT IN VOCAB,,,,,
bowhead,NOT IN VOCAB,,,,,
bowhead whale,NOT IN VOCAB,,,,,
box turtle,NOT IN VOCAB,,,,,
boxelder bug,NOT IN VOCAB,,,,,
boxer,IN VOCAB,,,,,
boxfish,NOT IN VOCAB,,,,,
brachiopod,NOT IN VOCAB,,,,,
brachiosaurus,NOT IN VOCAB,,,,,
bream,NOT IN VOCAB,,,,,
brimfish,NOT IN VOCAB,,,,,
brine shrimp,NOT IN VOCAB,,,,,
broadbill,NOT IN VOCAB,,,,,
broadtail,NOT IN VOCAB,,,,,
bronc,NOT IN VOCAB,,,,,
bronco,NOT IN VOCAB,,,,,
brontosaurus,NOT IN VOCAB,,,,,
broodmare,NOT IN VOCAB,,,,,
broody hen,NOT IN VOCAB,,,,,
brook trout,NOT IN VOCAB,,,,,
brown bear,NOT IN VOCAB,,,,,
brown bullhead,NOT IN VOCAB,,,,,
brown creeper,NOT IN VOCAB,,,,,
brown hyena,NOT IN VOCAB,,,,,
brown recluse,NOT IN VOCAB,,,,,
brown recluse spider,NOT IN VOCAB,,,,,
brown thrasher,NOT IN VOCAB,,,,,
brown trout,NOT IN VOCAB,,,,,
bruin,IN VOCAB,,,,,
bryozoan,NOT IN VOCAB,,,,,
buck,IN VOCAB,,,,,
bucking bronco,NOT IN VOCAB,,,,,
budgerigar,NOT IN VOCAB,,,,,
budgie,NOT IN VOCAB,,,,,
buffalo,IN VOCAB,,,,,
bufflehead,NOT IN VOCAB,,,,,
bufo,NOT IN VOCAB,,,,,
bug,IN VOCAB,,,,,
bulbul,NOT IN VOCAB,,,,,
bull,IN VOCAB,,,,,
bull mastiff,NOT IN VOCAB,,,,,
bull shark,NOT IN VOCAB,,,,,
bull snake,NOT IN VOCAB,,,,,
bull terrier,NOT IN VOCAB,,,,,
bulldog,IN VOCAB,,,,,
bullfinch,NOT IN VOCAB,,,,,
bullfrog,IN VOCAB,,,,,
bullhead,NOT IN VOCAB,,,,,
bullhead catfish,NOT IN VOCAB,,,,,
bullmastiff,NOT IN VOCAB,,,,,
bullock,IN VOCAB,,,,,
bullsnake,NOT IN VOCAB,,,,,
bumblebee,IN VOCAB,,,,,
bunny,IN VOCAB,,,,,
bunny rabbit,NOT IN VOCAB,,,,,
bunting,IN VOCAB,,,,,
burbot,NOT IN VOCAB,,,,,
burmese mountain dog,NOT IN VOCAB,,,,,
burro,NOT IN VOCAB,,,,,
bush squirrel,NOT IN VOCAB,,,,,
bushbaby,NOT IN VOCAB,,,,,
bushbuck,NOT IN VOCAB,,,,,
bushmaster,NOT IN VOCAB,,,,,
bustard,NOT IN VOCAB,,,,,
butterfish,NOT IN VOCAB,,,,,
butterflies,IN VOCAB,,,,,
butterfly,IN VOCAB,,,,,
butterflyfish,NOT IN VOCAB,,,,,
buzzard,IN VOCAB,,,,,
cactus wren,NOT IN VOCAB,,,,,
caddis fly,NOT IN VOCAB,,,,,
caecilian,NOT IN VOCAB,,,,,
caiman,NOT IN VOCAB,,,,,
cairn terrier,NOT IN VOCAB,,,,,
calf,IN VOCAB,,,,,
calico cat,NOT IN VOCAB,,,,,
camel,IN VOCAB,,,,,
cameo,IN VOCAB,,,,,
