ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
gall wasp,NOT IN VOCAB,,,,,
gallinule,NOT IN VOCAB,,,,,
gamecock,IN VOCAB,,,,,
gander,IN VOCAB,,,,,
gannet,NOT IN VOCAB,,,,,
gar,IN VOCAB,,,,,
garden snake,NOT IN VOCAB,,,,,
garfish,NOT IN VOCAB,,,,,
garibaldi,NOT IN VOCAB,,,,,
garter snake,NOT IN VOCAB,,,,,
gator,NOT IN VOCAB,,,,,
gaur,NOT IN VOCAB,,,,,
gavial,NOT IN VOCAB,,,,,
gazelle,IN VOCAB,,,,,
gecko,NOT IN VOCAB,,,,,
geese,IN VOCAB,,,,,
gelding,NOT IN VOCAB,,,,,
gemsbok,NOT IN VOCAB,,,,,
genet,NOT IN VOCAB,,,,,
geoduck,NOT IN VOCAB,,,,,
gerbil,NOT IN VOCAB,,,,,
gerbils,NOT IN VOCAB,,,,,
german shepard,NOT IN VOCAB,,,,,
german shepherd,NOT IN VOCAB,,,,,
gharial,NOT IN VOCAB,,,,,
ghost crab,NOT IN VOCAB,,,,,
giant,IN VOCAB,,,,,
giant anteater,NOT IN VOCAB,,,,,
giant panda,NOT IN VOCAB,,,,,
giant schnauzer,NOT IN VOCAB,,,,,
giant squid,NOT IN VOCAB,,,,,
giant tortoise,NOT IN VOCAB,,,,,
gibbon,IN VOCAB,,,,,
gila monster,NOT IN VOCAB,,,,,
giraffe,NOT IN VOCAB,,,,,
glaucus,IN VOCAB,,,,,
glider,NOT IN VOCAB,,,,,
globefish,NOT IN VOCAB,,,,,
glowworm,NOT IN VOCAB,,,,,
gnat,IN VOCAB,,,,,
gnatcatcher,NOT IN VOCAB,,,,,
gnu,NOT IN VOCAB,,,,,
goanna,NOT IN VOCAB,,,,,
goat,IN VOCAB,,,,,
goatfish,NOT IN VOCAB,,,,,
goats,IN VOCAB,,,,,
goby,IN VOCAB,,,,,
godwit,NOT IN VOCAB,,,,,
godzilla,NOT IN VOCAB,,,,,
gold fish,NOT IN VOCAB,,,,,
golden eagle,NOT IN VOCAB,,,,,
golden labrador,NOT IN VOCAB,,,,,
golden marmot,NOT IN VOCAB,,,,,
golden plover,NOT IN VOCAB,,,,,
golden retriever,NOT IN VOCAB,,,,,
golden shiner,NOT IN VOCAB,,,,,
goldendoodle,NOT IN VOCAB,,,,,
goldfinch,IN VOCAB,,,,,
goldfish,IN VOCAB,,,,,
gooney bird,NOT IN VOCAB,,,,,
goose,IN VOCAB,,,,,
gopher,IN VOCAB,,,,,
gopher snake,NOT IN VOCAB,,,,,
gopher tortoise,NOT IN VOCAB,,,,,
gopher turtle,NOT IN VOCAB,,,,,
gorgonian,NOT IN VOCAB,,,,,
gorilla,IN VOCAB,,,,,
goshawk,NOT IN VOCAB,,,,,
gosling,NOT IN VOCAB,,,,,
grackle,NOT IN VOCAB,,,,,
grass snake,NOT IN VOCAB,,,,,
grasshopper,IN VOCAB,,,,,
grasshopper mouse,NOT IN VOCAB,,,,,
gray catbird,NOT IN VOCAB,,,,,
gray fox,NOT IN VOCAB,,,,,
gray jay,NOT IN VOCAB,,,,,
gray mullet,NOT IN VOCAB,,,,,
gray partridge,NOT IN VOCAB,,,,,
gray treefrog,NOT IN VOCAB,,,,,
gray whale,NOT IN VOCAB,,,,,
gray wolf,NOT IN VOCAB,,,,,
graywolf,NOT IN VOCAB,,,,,
great auk,NOT IN VOCAB,,,,,
great blue heron,NOT IN VOCAB,,,,,
great crested grebe,NOT IN VOCAB,,,,,
great dane,NOT IN VOCAB,,,,,
great horned owl,NOT IN VOCAB,,,,,
great pyrenees,NOT IN VOCAB,,,,,
great white shark,NOT IN VOCAB,,,,,
greater yellowlegs,NOT IN VOCAB,,,,,
grebe,NOT IN VOCAB,,,,,
green lacewing,NOT IN VOCAB,,,,,
green mamba,NOT IN VOCAB,,,,,
green tree frog,NOT IN VOCAB,,,,,
green tree python,NOT IN VOCAB,,,,,
greenfly,NOT IN VOCAB,,,,,
greenling,NOT IN VOCAB,,,,,
greenshank,NOT IN VOCAB,,,,,
grenadier,IN VOCAB,,,,,
grey squirrel,NOT IN VOCAB,,,,,
grey whale,NOT IN VOCAB,,,,,
greyhound,IN VOCAB,,,,,
greylag goose,NOT IN VOCAB,,,,,
griffon,NOT IN VOCAB,,,,,
griffon vulture,NOT IN VOCAB,,,,,
grizzly,IN VOCAB,,,,,
grizzly bear,NOT IN VOCAB,,,,,
grosbeak,IN VOCAB,,,,,
ground hog,NOT IN VOCAB,,,,,
ground squirrel,NOT IN VOCAB,,,,,
groundfish,NOT IN VOCAB,,,,,
groundhog,NOT IN VOCAB,,,,,
grouper,NOT IN VOCAB,,,,,
grouse,IN VOCAB,,,,,
grub,IN VOCAB,,,,,
grunt,IN VOCAB,,,,,
guan,NOT IN VOCAB,,,,,
guanaco,IN VOCAB,,,,,
gudgeon,NOT IN VOCAB,,,,,
guenon,NOT IN VOCAB,,,,,
guerrilla,IN VOCAB,,,,,
guillemot,NOT IN VOCAB,,,,,
guinea fowl,NOT IN VOCAB,,,,,
guinea hen,NOT IN VOCAB,,,,,
guinea pig,NOT IN VOCAB,,,,,
guinea worm,NOT IN VOCAB,,,,,
guineafowl,NOT IN VOCAB,,,,,
gull,IN VOCAB,,,,,
gumboot chiton,NOT IN VOCAB,,,,,
gunnel,NOT IN VOCAB,,,,,
guppy,NOT IN VOCAB,,,,,
gurnard,NOT IN VOCAB,,,,,
gypsy moth,NOT IN VOCAB,,,,,
gyrfalcon,NOT IN VOCAB,,,,,
hackney,IN VOCAB,,,,,
haddock,IN VOCAB,,,,,
hadrosaur,NOT IN VOCAB,,,,,
hagfish,NOT IN VOCAB,,,,,
hairless cat,NOT IN VOCAB,,,,,
hairstreak,NOT IN VOCAB,,,,,
hairstreak butterfly,NOT IN VOCAB,,,,,
hairy woodpecker,NOT IN VOCAB,,,,,
hake,NOT IN VOCAB,,,,,
halcyon,IN VOCAB,,,,,
halibut,NOT IN VOCAB,,,,,
hammerhead,NOT IN VOCAB,,,,,
hammerhead shark,NOT IN VOCAB,,,,,
hamster,NOT IN VOCAB,,,,,
hanover hound,NOT IN VOCAB,,,,,
harambe,NOT IN VOCAB,,,,,
harbor porpoise,NOT IN VOCAB,,,,,
harbor seal,NOT IN VOCAB,,,,,
hare,IN VOCAB,,,,,
harp seal,NOT IN VOCAB,,,,,
harpy eagle,NOT IN VOCAB,,,,,
harrier,NOT IN VOCAB,,,,,
hart,IN VOCAB,,,,,
hartebeest,NOT IN VOCAB,,,,,
havanese dog,NOT IN VOCAB,,,,,
hawk,IN VOCAB,,,,,
hawk moth,NOT IN VOCAB,,,,,
hawk owl,NOT IN VOCAB,,,,,
hawkmoth,NOT IN VOCAB,,,,,
hawksbill,NOT IN VOCAB,,,,,
hawksbill turtle,NOT IN VOCAB,,,,,
heath hen,NOT IN VOCAB,,,,,
hedgehog,IN VOCAB,,,,,
heifer,IN VOCAB,,,,,
hellbender,NOT IN VOCAB,,,,,
helminth,NOT IN VOCAB,,,,,
hen,IN VOCAB,,,,,
hen harrier,NOT IN VOCAB,,,,,
hermit,IN VOCAB,,,,,
hermit crab,NOT IN VOCAB,,,,,
hermit thrush,NOT IN VOCAB,,,,,
heron,IN VOCAB,,,,,
herring,IN VOCAB,,,,,
herring gull,NOT IN VOCAB,,,,,
hexapod,NOT IN VOCAB,,,,,
hinny,NOT IN VOCAB,,,,,
hippo,NOT IN VOCAB,,,,,
hippopotamus,IN VOCAB,,,,,
hoary marmot,NOT IN VOCAB,,,,,
hoatzin,NOT IN VOCAB,,,,,
hog,IN VOCAB,,,,,
hogfish,NOT IN VOCAB,,,,,
hogg,NOT IN VOCAB,,,,,
hogget,NOT IN VOCAB,,,,,
hognose snake,NOT IN VOCAB,,,,,
hogs,IN VOCAB,,,,,
holstein,NOT IN VOCAB,,,,,
homing pigeon,NOT IN VOCAB,,,,,
hominid,NOT IN VOCAB,,,,,
hominoid,NOT IN VOCAB,,,,,
homo erectus,NOT IN VOCAB,,,,,
homo habilis,NOT IN VOCAB,,,,,
homo sapiens,NOT IN VOCAB,,,,,
honey badger,NOT IN VOCAB,,,,,
honey bee,NOT IN VOCAB,,,,,
honey buzzard,NOT IN VOCAB,,,,,
honeybee,NOT IN VOCAB,,,,,
honeycreeper,NOT IN VOCAB,,,,,
hooded merganser,NOT IN VOCAB,,,,,
hoofed mammal,NOT IN VOCAB,,,,,
hookworm,NOT IN VOCAB,,,,,
hoopoe,IN VOCAB,,,,,
hoot owl,NOT IN VOCAB,,,,,
hornbill,NOT IN VOCAB,,,,,
horned dinosaur,NOT IN VOCAB,,,,,
horned lizard,NOT IN VOCAB,,,,,
horned owl,NOT IN VOCAB,,,,,
horned toad,NOT IN VOCAB,,,,,
hornet,NOT IN VOCAB,,,,,
horse,IN VOCAB,,,,,
horsefly,NOT IN VOCAB,,,,,
horsehead,NOT IN VOCAB,,,,,
horseshoe crab,NOT IN VOCAB,,,,,
hound,IN VOCAB,,,,,
hound dog,NOT IN VOCAB,,,,,
housefly,NOT IN VOCAB,,,,,
hoverfly,NOT IN VOCAB,,,,,
howler monkey,NOT IN VOCAB,,,,,
howling monkey,NOT IN VOCAB,,,,,
human,IN VOCAB,,,,,
human being,NOT IN VOCAB,,,,,
hummingbird,NOT IN VOCAB,,,,,
hummingbird moth,NOT IN VOCAB,,,,,
humpback whale,NOT IN VOCAB,,,,,
humuhumunukunukuapua,NOT IN VOCAB,,,,,
huntsman,IN VOCAB,,,,,
huntsman spider,NOT IN VOCAB,,,,,
huskie,NOT IN VOCAB,,,,,
huskies,NOT IN VOCAB,,,,,
husky,IN VOCAB,,,,,
hydra,IN VOCAB,,,,,
hyena,IN VOCAB,,,,,
hyenas,IN VOCAB,,,,,
hyrax,NOT IN VOCAB,,,,,
ibex,IN VOCAB,,,,,
ibis,NOT IN VOCAB,,,,,
ichthyosaur,NOT IN VOCAB,,,,,
iguana,NOT IN VOCAB,,,,,
imago,NOT IN VOCAB,,,,,
impala,NOT IN VOCAB,,,,,
inchworm,NOT IN VOCAB,,,,,
indigo bunting,NOT IN VOCAB,,,,,
indigo snake,NOT IN VOCAB,,,,,
indri,NOT IN VOCAB,,,,,
insect,IN VOCAB,,,,,
invertebrate,NOT IN VOCAB,,,,,
isopod,NOT IN VOCAB,,,,,
itch mite,NOT IN VOCAB,,,,,
ivory billed,NOT IN VOCAB,,,,,
ivory gull,NOT IN VOCAB,,,,,
jabiru,NOT IN VOCAB,,,,,
jack,IN VOCAB,,,,,
jack crevalle,NOT IN VOCAB,,,,,
jack mackerel,NOT IN VOCAB,,,,,
jack rabbit,NOT IN VOCAB,,,,,
jack russell,NOT IN VOCAB,,,,,
jack russell terrier,NOT IN VOCAB,,,,,
jackal,IN VOCAB,,,,,
jackalope,NOT IN VOCAB,,,,,
jackass,IN VOCAB,,,,,
jackass penguin,NOT IN VOCAB,,,,,
jackdaw,IN VOCAB,,,,,
jackrabbit,NOT IN VOCAB,,,,,
jaguar,IN VOCAB,,,,,
jaguarundi,NOT IN VOCAB,,,,,
javelina,NOT IN VOCAB,,,,,
jawless fish,NOT IN VOCAB,,,,,
jay,IN VOCAB,,,,,
jaybird,NOT IN VOCAB,,,,,
jellyfish,IN VOCAB,,,,,
jerboa,NOT IN VOCAB,,,,,
jewfish,NOT IN VOCAB,,,,,
jigger,NOT IN VOCAB,,,,,
joey,NOT IN VOCAB,,,,,
junco,NOT IN VOCAB,,,,,
june beetle,NOT IN VOCAB,,,,,
june bug,NOT IN VOCAB,,,,,
jungle fowl,NOT IN VOCAB,,,,,
kangaroo,IN VOCAB,,,,,
kangaroo rat,NOT IN VOCAB,,,,,
karakul,NOT IN VOCAB,,,,,
katydid,NOT IN VOCAB,,,,,
kea,NOT IN VOCAB,,,,,
keeshond,NOT IN VOCAB,,,,,
kelp greenling,NOT IN VOCAB,,,,,
kelpie,IN VOCAB,,,,,
kestrel,NOT IN VOCAB,,,,,
keyhole limpet,NOT IN VOCAB,,,,,
kid,IN VOCAB,,,,,
killdeer,NOT IN VOCAB,,,,,
killer bee,NOT IN VOCAB,,,,,
killer whale,NOT IN VOCAB,,,,,
killifish,NOT IN VOCAB,,,,,
king cobra,NOT IN VOCAB,,,,,
king crab,NOT IN VOCAB,,,,,
king mackerel,NOT IN VOCAB,,,,,
king salmon,NOT IN VOCAB,,,,,
kingbird,NOT IN VOCAB,,,,,
kingfish,NOT IN VOCAB,,,,,
kingfisher,IN VOCAB,,,,,
kingsnake,NOT IN VOCAB,,,,,
kinkajou,NOT IN VOCAB,,,,,
kite,IN VOCAB,,,,,
kitfox,NOT IN VOCAB,,,,,
kitten,IN VOCAB,,,,,
kittiwake,NOT IN VOCAB,,,,,
kitty,IN VOCAB,,,,,
kitty cat,NOT IN VOCAB,,,,,
kiwi,NOT IN VOCAB,,,,,
koala,NOT IN VOCAB,,,,,
koala bear,NOT IN VOCAB,,,,,
kodiak,NOT IN VOCAB,,,,,
kodiak bear,NOT IN VOCAB,,,,,
koi,NOT IN VOCAB,,,,,
koi fish,NOT IN VOCAB,,,,,
komodo dragon,NOT IN VOCAB,,,,,
kongoni,NOT IN VOCAB,,,,,
kookaburra,NOT IN VOCAB,,,,,
krait,NOT IN VOCAB,,,,,
krill,NOT IN VOCAB,,,,,
kuala,NOT IN VOCAB,,,,,
kudu,NOT IN VOCAB,,,,,
lab,IN VOCAB,,,,,
labrador,IN VOCAB,,,,,
labrador retriever,NOT IN VOCAB,,,,,
lacewing,NOT IN VOCAB,,,,,
lady bug,NOT IN VOCAB,,,,,
ladybird,IN VOCAB,,,,,
ladybird beetle,NOT IN VOCAB,,,,,
ladybug,IN VOCAB,,,,,
ladyfish,NOT IN VOCAB,,,,,
lake trout,NOT IN VOCAB,,,,,
lake whitefish,NOT IN VOCAB,,,,,
lamb,IN VOCAB,,,,,
lamprey,NOT IN VOCAB,,,,,
lamprey eel,NOT IN VOCAB,,,,,
landlocked salmon,NOT IN VOCAB,,,,,
langur,NOT IN VOCAB,,,,,
lanternfish,NOT IN VOCAB,,,,,
lapdog,NOT IN VOCAB,,,,,
lapin,NOT IN VOCAB,,,,,
lapwing,NOT IN VOCAB,,,,,
largemouth bass,NOT IN VOCAB,,,,,
lark,IN VOCAB,,,,,
larva,IN VOCAB,,,,,
larvae,IN VOCAB,,,,,
laughing gull,NOT IN VOCAB,,,,,
leach,NOT IN VOCAB,,,,,
leaf beetle,NOT IN VOCAB,,,,,
leaf insect,NOT IN VOCAB,,,,,
leafhopper,NOT IN VOCAB,,,,,
leatherback,NOT IN VOCAB,,,,,
leatherback turtle,NOT IN VOCAB,,,,,
leatherjacket,NOT IN VOCAB,,,,,
lechwe,NOT IN VOCAB,,,,,
leech,IN VOCAB,,,,,
legless lizard,NOT IN VOCAB,,,,,
lemming,IN VOCAB,,,,,
lemur,NOT IN VOCAB,,,,,
leopard,IN VOCAB,,,,,
leopard frog,NOT IN VOCAB,,,,,
leopard seal,NOT IN VOCAB,,,,,
leopard shark,NOT IN VOCAB,,,,,
leopardess,NOT IN VOCAB,,,,,
lepidopteran,NOT IN VOCAB,,,,,
lesser scaup,NOT IN VOCAB,,,,,
lesser yellowlegs,NOT IN VOCAB,,,,,
lhasa apso,NOT IN VOCAB,,,,,
liger,NOT IN VOCAB,,,,,
limpet,NOT IN VOCAB,,,,,
lingcod,NOT IN VOCAB,,,,,
linnet,IN VOCAB,,,,,
lion,IN VOCAB,,,,,
lion cub,NOT IN VOCAB,,,,,
lioness,IN VOCAB,,,,,
lionfish,NOT IN VOCAB,,,,,
lions,IN VOCAB,,,,,
little brown myotis,NOT IN VOCAB,,,,,
lizard,IN VOCAB,,,,,
llama,IN VOCAB,,,,,
loach,IN VOCAB,,,,,
lobster,IN VOCAB,,,,,
locust,IN VOCAB,,,,,
loggerhead,NOT IN VOCAB,,,,,
loggerhead shrike,NOT IN VOCAB,,,,,
loggerhead turtle,NOT IN VOCAB,,,,,
long tailed lizard,NOT IN VOCAB,,,,,
long tailed salamander,NOT IN VOCAB,,,,,
longhorn,NOT IN VOCAB,,,,,
longneck,NOT IN VOCAB,,,,,
loon,IN VOCAB,,,,,
lorikeet,NOT IN VOCAB,,,,,
loris,NOT IN VOCAB,,,,,
louse,IN VOCAB,,,,,
lovebird,NOT IN VOCAB,,,,,
lugworm,NOT IN VOCAB,,,,,
lumpfish,NOT IN VOCAB,,,,,
luna moth,NOT IN VOCAB,,,,,
lungfish,NOT IN VOCAB,,,,,
lungless salamander,NOT IN VOCAB,,,,,
lynx,IN VOCAB,,,,,
lyrebird,NOT IN VOCAB,,,,,
macaque,NOT IN VOCAB,,,,,
macaque monkey,NOT IN VOCAB,,,,,
macaw,NOT IN VOCAB,,,,,
mackerel,IN VOCAB,,,,,
mackerel tuna,NOT IN VOCAB,,,,,
madagascar hissing cockroach,NOT IN VOCAB,,,,,
maggot,IN VOCAB,,,,,
magpie,IN VOCAB,,,,,
mahi,NOT IN VOCAB,,,,,
mahimahi,NOT IN VOCAB,,,,,
maine coon,NOT IN VOCAB,,,,,
mako shark,NOT IN VOCAB,,,,,
malamute,NOT IN VOCAB,,,,,
malarial mosquito,NOT IN VOCAB,,,,,
maleo,NOT IN VOCAB,,,,,
malinois,NOT IN VOCAB,,,,,
mallard,NOT IN VOCAB,,,,,
mallee fowl,NOT IN VOCAB,,,,,
maltese,IN VOCAB,,,,,
maltese terrier,NOT IN VOCAB,,,,,
mamba,NOT IN VOCAB,,,,,
mammal,NOT IN VOCAB,,,,,
mammoth,IN VOCAB,,,,,
man,IN VOCAB,,,,,
manakin,NOT IN VOCAB,,,,,
manatee,NOT IN VOCAB,,,,,
mandrill,NOT IN VOCAB,,,,,
maned wolf,NOT IN VOCAB,,,,,
mangabey,NOT IN VOCAB,,,,,
mangrove snapper,NOT IN VOCAB,,,,,
manowar,NOT IN VOCAB,,,,,
manta,NOT IN VOCAB,,,,,
manta ray,NOT IN VOCAB,,,,,
mantis,NOT IN VOCAB,,,,,
mantis shrimp,NOT IN VOCAB,,,,,
marabou,NOT IN VOCAB,,,,,
marabou stork,NOT IN VOCAB,,,,,
mare,IN VOCAB,,,,,
markhor,NOT IN VOCAB,,,,,
marlin,NOT IN VOCAB,,,,,
marmoset,NOT IN VOCAB,,,,,
marmot,IN VOCAB,,,,,
marsh harrier,NOT IN VOCAB,,,,,
marsh wren,NOT IN VOCAB,,,,,
marsupial,NOT IN VOCAB,,,,,
marten,IN VOCAB,,,,,
mason bee,NOT IN VOCAB,,,,,
massasauga,NOT IN VOCAB,,,,,
mastiff,IN VOCAB,,,,,
mastodon,IN VOCAB,,,,,
maverick,NOT IN VOCAB,,,,,
mayfly,NOT IN VOCAB,,,,,
meadow pipit,NOT IN VOCAB,,,,,
meadow vole,NOT IN VOCAB,,,,,
meadowlark,NOT IN VOCAB,,,,,
mealworm,NOT IN VOCAB,,,,,
mealy bug,NOT IN VOCAB,,,,,
mealybug,NOT IN VOCAB,,,,,
medfly,NOT IN VOCAB,,,,,
medicinal leech,NOT IN VOCAB,,,,,
medusa,IN VOCAB,,,,,
meerkat,NOT IN VOCAB,,,,,
megalodon,NOT IN VOCAB,,,,,
menhaden,NOT IN VOCAB,,,,,
merganser,NOT IN VOCAB,,,,,
merino sheep,NOT IN VOCAB,,,,,
merlin,IN VOCAB,,,,,
metazoan,NOT IN VOCAB,,,,,
mice,IN VOCAB,,,,,
microbe,IN VOCAB,,,,,
midge,IN VOCAB,,,,,
milch cow,NOT IN VOCAB,,,,,
milkfish,NOT IN VOCAB,,,,,
milking shorthorn,NOT IN VOCAB,,,,,
millipede,NOT IN VOCAB,,,,,
miniature pinscher,NOT IN VOCAB,,,,,
miniature pony,NOT IN VOCAB,,,,,
miniature poodle,NOT IN VOCAB,,,,,
miniature schnauzer,NOT IN VOCAB,,,,,
mink,IN VOCAB,,,,,
minke whale,NOT IN VOCAB,,,,,
minnow,IN VOCAB,,,,,
minnow fish,NOT IN VOCAB,,,,,
minx,IN VOCAB,,,,,
mirid bug,NOT IN VOCAB,,,,,
mistle thrush,NOT IN VOCAB,,,,,
mite,IN VOCAB,,,,,
moccasin,IN VOCAB,,,,,
mockingbird,NOT IN VOCAB,,,,,
mojarra,NOT IN VOCAB,,,,,
mola,NOT IN VOCAB,,,,,
mole,IN VOCAB,,,,,
mole rat,NOT IN VOCAB,,,,,
mollusk,IN VOCAB,,,,,
monarch butterfly,NOT IN VOCAB,,,,,
mongoose,IN VOCAB,,,,,
monitor,IN VOCAB,,,,,
monitor lizard,NOT IN VOCAB,,,,,
monkey,IN VOCAB,,,,,
monkeys,IN VOCAB,,,,,
monkfish,NOT IN VOCAB,,,,,
monotreme,NOT IN VOCAB,,,,,
monster,IN VOCAB,,,,,
moonfish,NOT IN VOCAB,,,,,
moonglow boa,NOT IN VOCAB,,,,,
moorhen,NOT IN VOCAB,,,,,
moose,IN VOCAB,,,,,
moray,IN VOCAB,,,,,
moray eel,NOT IN VOCAB,,,,,
mosquito,IN VOCAB,,,,,
mosquitofish,NOT IN VOCAB,,,,,
moth,IN VOCAB,,,,,
moths,IN VOCAB,,,,,
mouflon,NOT IN VOCAB,,,,,
mountain cat,NOT IN VOCAB,,,,,
mountain goat,NOT IN VOCAB,,,,,
mountain gorilla,NOT IN VOCAB,,,,,
mountain lion,NOT IN VOCAB,,,,,
mourning dove,NOT IN VOCAB,,,,,
mouse,IN VOCAB,,,,,
mud dauber,NOT IN VOCAB,,,,,
mudskipper,NOT IN VOCAB,,,,,
mule,IN VOCAB,,,,,
mule deer,NOT IN VOCAB,,,,,
mules,IN VOCAB,,,,,
mullet,IN VOCAB,,,,,
mulloway,NOT IN VOCAB,,,,,
muntjac,NOT IN VOCAB,,,,,
murre,NOT IN VOCAB,,,,,
muscovy duck,NOT IN VOCAB,,,,,
musk deer,NOT IN VOCAB,,,,,
musk ox,NOT IN VOCAB,,,,,
musk turtle,NOT IN VOCAB,,,,,
muskellunge,NOT IN VOCAB,,,,,
muskox,NOT IN VOCAB,,,,,
muskrat,IN VOCAB,,,,,
mussel,IN VOCAB,,,,,
mustang,IN VOCAB,,,,,
mute swan,NOT IN VOCAB,,,,,
mutton snapper,NOT IN VOCAB,,,,,
myna,NOT IN VOCAB,,,,,
myna bird,NOT IN VOCAB,,,,,
mynah,NOT IN VOCAB,,,,,
mynah bird,NOT IN VOCAB,,,,,
naked mole rat,NOT IN VOCAB,,,,,
narwhal,NOT IN VOCAB,,,,,
nautilus,IN VOCAB,,,,,
neanderthal,NOT IN VOCAB,,,,,
needlefish,NOT IN VOCAB,,,,,
nematode,NOT IN VOCAB,,,,,
nematode worm,NOT IN VOCAB,,,,,
newt,IN VOCAB,,,,,
nightcrawler,NOT IN VOCAB,,,,,
nightingale,IN VOCAB,,,,,
nightjar,NOT IN VOCAB,,,,,
nilgai,NOT IN VOCAB,,,,,
northern bobwhite,NOT IN VOCAB,,,,,
northern cricket frog,NOT IN VOCAB,,,,,
northern harrier,NOT IN VOCAB,,,,,
northern parula,NOT IN VOCAB,,,,,
northern pike,NOT IN VOCAB,,,,,
northern pocket gopher,NOT IN VOCAB,,,,,
northern shrike,NOT IN VOCAB,,,,,
northern snakehead,NOT IN VOCAB,,,,,
nudibranch,NOT IN VOCAB,,,,,
nurse shark,NOT IN VOCAB,,,,,
nuthatch,IN VOCAB,,,,,
nutria,NOT IN VOCAB,,,,,
nyala,NOT IN VOCAB,,,,,
oarfish,NOT IN VOCAB,,,,,
ocean pout,NOT IN VOCAB,,,,,
ocean sunfish,NOT IN VOCAB,,,,,
oceanic whitetip shark,NOT IN VOCAB,,,,,
ocelot,NOT IN VOCAB,,,,,
octopus,NOT IN VOCAB,,,,,
okapi,NOT IN VOCAB,,,,,
olive ridley,NOT IN VOCAB,,,,,
omnivore,NOT IN VOCAB,,,,,
onion thrips,NOT IN VOCAB,,,,,
opah,NOT IN VOCAB,,,,,
opossum,NOT IN VOCAB,,,,,
opossum shrimp,NOT IN VOCAB,,,,,
orang,IN VOCAB,,,,,
orange roughie,NOT IN VOCAB,,,,,
orangutan,NOT IN VOCAB,,,,,
orangutang,NOT IN VOCAB,,,,,
orca,NOT IN VOCAB,,,,,
orca whale,NOT IN VOCAB,,,,,
orchard oriole,NOT IN VOCAB,,,,,
oriole,IN VOCAB,,,,,
ormer,NOT IN VOCAB,,,,,
ornithopod,NOT IN VOCAB,,,,,
ortolan,NOT IN VOCAB,,,,,
oryx,NOT IN VOCAB,,,,,
osprey,NOT IN VOCAB,,,,,
ostrich,IN VOCAB,,,,,
ostriches,IN VOCAB,,,,,
otter,IN VOCAB,,,,,
ovenbird,NOT IN VOCAB,,,,,
owl,IN VOCAB,,,,,
owlet,NOT IN VOCAB,,,,,
ox,IN VOCAB,,,,,
oxen,IN VOCAB,,,,,
oyster,IN VOCAB,,,,,
oystercatcher,NOT IN VOCAB,,,,,
oysters,IN VOCAB,,,,,
pachyderm,NOT IN VOCAB,,,,,
packhorse,NOT IN VOCAB,,,,,
packrat,NOT IN VOCAB,,,,,
paddlefish,NOT IN VOCAB,,,,,
pajero,NOT IN VOCAB,,,,,
pallass cat,NOT IN VOCAB,,,,,
palm civet,NOT IN VOCAB,,,,,
palo verde borer,NOT IN VOCAB,,,,,
palomino,NOT IN VOCAB,,,,,
panda,NOT IN VOCAB,,,,,
panda bear,NOT IN VOCAB,,,,,
pangolin,NOT IN VOCAB,,,,,
panther,IN VOCAB,,,,,
papillon,IN VOCAB,,,,,
parakeet,IN VOCAB,,,,,
parasitic worm,NOT IN VOCAB,,,,,
parrot,IN VOCAB,,,,,
parrotfish,NOT IN VOCAB,,,,,
partridge,IN VOCAB,,,,,
passerine,NOT IN VOCAB,,,,,
peacock,IN VOCAB,,,,,
peafowl,NOT IN VOCAB,,,,,
peahen,NOT IN VOCAB,,,,,
pearl oyster,NOT IN VOCAB,,,,,
peccary,NOT IN VOCAB,,,,,
peckerwood,NOT IN VOCAB,,,,,
pectoral sandpiper,NOT IN VOCAB,,,,,
pelican,IN VOCAB,,,,,
pembroke welsh corgi,NOT IN VOCAB,,,,,
penguin,IN VOCAB,,,,,
penis worm,NOT IN VOCAB,,,,,
perch,IN VOCAB,,,,,
peregrine,IN VOCAB,,,,,
peregrine falcon,NOT IN VOCAB,,,,,
periodical cicada,NOT IN VOCAB,,,,,
perro,NOT IN VOCAB,,,,,
persian cat,NOT IN VOCAB,,,,,
person,IN VOCAB,,,,,
pescador,NOT IN VOCAB,,,,,
petrel,NOT IN VOCAB,,,,,
pewee,IN VOCAB,,,,,
phalarope,NOT IN VOCAB,,,,,
pheasant,IN VOCAB,,,,,
phoenix,IN VOCAB,,,,,
pickerel,NOT IN VOCAB,,,,,
piffle,NOT IN VOCAB,,,,,
pig,IN VOCAB,,,,,
pigeon,IN VOCAB,,,,,
pigfish,NOT IN VOCAB,,,,,
piggy,IN VOCAB,,,,,
piglet,NOT IN VOCAB,,,,,
pika,NOT IN VOCAB,,,,,
pike,IN VOCAB,,,,,
pike perch,NOT IN VOCAB,,,,,
pilchard,NOT IN VOCAB,,,,,
pileated woodpecker,NOT IN VOCAB,,,,,
pill bug,NOT IN VOCAB,,,,,
pilot whale,NOT IN VOCAB,,,,,
pincher,NOT IN VOCAB,,,,,
pine grosbeak,NOT IN VOCAB,,,,,
pine marten,NOT IN VOCAB,,,,,
pine siskin,NOT IN VOCAB,,,,,
pinfish,NOT IN VOCAB,,,,,
pink bollworm,NOT IN VOCAB,,,,,
pink salmon,NOT IN VOCAB,,,,,
pinniped,NOT IN VOCAB,,,,,
pinscher,NOT IN VOCAB,,,,,
pintail,NOT IN VOCAB,,,,,
pinto horse,NOT IN VOCAB,,,,,
pinworm,NOT IN VOCAB,,,,,
pipefish,NOT IN VOCAB,,,,,
