adder,albatross,alligator,alpaca,anchovies,anchovy,anemone,ant,antelope,antelopes,ants,ape,asp,ass,baboon,baby,badger,bantam,barb,basilisk,bass,bat,beagle,bear,beast,beaver,bee,beetle,beetles,bird,birds,bison,bittern,blackbird,bluebird,boa,boar,bombay,booby,boxer,brittany,bruin,buck,buffalo,bug,bull,bulldog,bullfrog,bullock,bumblebee,bunny,bunting,butterflies,butterfly,buzzard,calf,calves,camel,cameo,canary,canine,caplin,cardinal,caribou,carp,cat,caterpillar,caterpillars,cats,cattle,centipede,chaffinch,chameleon,chamois,char,chick,chickadee,chicken,chickens,chimaera,chinook,chipmunk,clam,cobra,cochineal,cock,cockle,cod,codfish,collie,colt,coney,coral,cougar,courser,cow,cows,coyote,crab,crabs,crane,crawfish,crayfish,creature,cricket,critter,crocodile,crocodiles,crow,cub,cuckoo,curlew,cuttlefish,dear,deer,deerhound,devil,dodo,doe,dog,dogs,dolphin,dolphins,domingo,donkey,dormouse,dory,dove,dragon,drake,dromedary,duck,duckling,ducks,eagle,eel,eels,eider,elephant,elephants,elk,ermine,ewe,falcon,fawn,feline,ferret,filly,finch,firefly,fish,fisher,fishes,flea,flies,flounder,fly,flycatcher,foal,foals,fossil,fowl,fox,foxes,foxhound,frog,frogs,fungi,fungus,gal,gamecock,gander,gar,gazelle,geese,giant,gibbon,glaucus,gnat,goat,goats,goby,goldfinch,goldfish,goose,gopher,gorilla,grasshopper,grasshoppers,grenadier,greyhound,grizzly,grosbeak,grouse,grub,grunt,guanaco,guerrilla,guinea,gull,hackney,haddock,halcyon,hare,hart,hawk,hedgehog,heifer,hen,herd,hermit,heron,herring,hippopotamus,hog,hogs,hoopoe,horse,horseman,horses,hound,human,huntsman,husky,hydra,hyena,hyenas,ibex,insect,insects,jack,jackal,jackass,jackdaw,jaguar,jay,jellyfish,jockey,kangaroo,kelpie,kiang,kid,killer,kingfisher,kite,kitten,kittens,kitty,lab,labrador,ladybird,ladybug,lamb,lambs,lark,larva,larvae,leech,lemming,leopard,leopards,lice,linnet,lion,lioness,lions,lizard,lizards,llama,loach,lobster,lobsters,locust,loon,louse,lynx,mackerel,maggot,magpie,maltese,mammoth,man,mare,mares,marmot,marten,mastiff,mastodon,medusa,merlin,mice,microbe,midge,mink,minnow,minx,mite,mites,moccasin,mole,mollusk,molly,mongoose,mongrel,monitor,monkey,monkeys,monster,moose,moray,mosquito,moth,moths,mouse,mule,mules,mullet,muskrat,mussel,mussels,mustang,narwhale,nautilus,newfoundland,newt,nightingale,nuthatch,orang,oriole,oscar,ostrich,ostriches,otter,owl,owls,ox,oxen,oyster,oysters,panther,papillon,parakeet,parrot,partridge,peacock,pegasus,pelican,penguin,perch,peregrine,persian,person,pest,pests,pet,pets,pewee,pheasant,phoenix,pig,pigeon,piggy,pigs,pike,plover,pointer,polar,pollock,ponies,pony,poodle,porcupine,pork,porpoise,possum,poultry,primate,ptarmigan,puffin,pug,pullet,puma,pup,puppies,puppy,puss,quail,rabbit,ragamuffin,ram,rat,rattler,rattlesnake,raven,ray,redbird,redbreast,redtail,reindeer,reptile,reptiles,rhinoceros,roach,robin,rodents,roe,rook,rooster,sable,salamander,salmon,sardine,sardines,scorpion,scorpions,seal,serpent,shad,shark,sharks,sheep,shellfish,shepherd,shrew,shrimp,siamese,siberian,silkworm,skate,skunk,skylark,sloth,slug,smelt,snail,snake,snakes,snapper,snipe,sow,spaniel,sparrow,spider,spiders,sponge,sprat,squab,squirrel,stag,stallion,stallions,starfish,starling,steed,steer,stork,sturgeon,sunfish,swallow,swan,swift,swine,tabby,tadpole,takin,tanager,tang,tentacle,tern,terrier,thoroughbred,thrush,tick,tiger,tigers,titmouse,toad,tortoise,tortuga,triggerfish,trotter,trout,trumpeter,tunny,turbot,turkey,turtle,turtles,unicorn,urchin,veal,vermin,viper,vulture,walrus,warbler,wasp,wasps,waterfowl,weasel,whale,whales,whelp,whiff,whitefish,whiting,wildcat,winkle,wolf,wolfhound,wolverine,wolves,woman,woodchuck,woodcock,woodpecker,worm,wren,yak,yellowlegs,zebra
0.03186938,-0.012234177,0.014730127,0.04974479,0.039841436,0.055601936,0.015926149,0.014560042,0.026825923,0.047865774,0.03860114,0.012950098,0.032819025,-0.06595546,0.039499357,-0.059911374,0.04699257,-0.035517875,0.019896133,-0.0337623,-0.040678795,-0.05688215,0.001310862,-0.05091259,-0.041569196,0.008149834,-0.038213316,-0.01419341,-0.005480528,-0.0475596,0.010008204,0.045167368,0.048957355,-0.028530423,0.031127835,-0.038123693,0.042905208,-0.000706535,-0.031026658,-0.002343421,0.025983853,0.05659476,-0.043691497,0.000703499,-0.07307544,-0.017199356,0.010102253,-0.011453837,0.013454258,-0.014208745,-0.062717125,0.006238801,0.012064979,-0.018738337,0.024324555,0.024567366,0.061572876,0.04262594,-0.038984686,-0.019152613,-0.028343447,-0.006406921,0.022264471,0.010956014,-0.022349672,-0.06458331,0.012469208,0.056553368,-0.051353343,0.04471954,0.07491643,-0.002378083,0.027472416,0.0426734,0.005475507,-0.019345723,0.028409453,-0.053403873,0.038804386,-0.010432843,0.03355645,-0.05060374,0.024167879,-0.016032485,0.010084176,-0.008675342,-0.002011902,-0.01460175,0.000339505,0.055942524,-0.03124198,0.001206615,-0.007695769,0.041515566,-0.005656833,0.004653848,0.026955964,-0.000105281,-0.016708404,0.014520021,0.012387448,0.00363754,0.019150626,-0.059448846,-0.048640393,-0.061420247,-0.027178941,0.006242441,0.032345492,-0.040834438,0.037209786,0.031791285,0.035193536,-0.04779108,-0.04002916,0.016518094,0.023407726,-0.018317219,-0.031813715,-0.063341655,-0.0373482,-0.005269813,-0.001011744,-0.028952746,-0.05935478,0.017388765,0.000696748,-0.002142584,-0.06705755,-0.03455139,0.06991804,-0.033401374,-0.014954373,0.002105902,-0.010177826,-0.024482122,-0.035155546,0.043587733,0.008344471,-0.026789403,0.011274573,0.06719509,0.032235317,0.006331772,-0.028938182,0.00976143,-0.018126544,0.02784792,-0.016646395,0.03284695,-0.07735302,-0.009338209,-0.04942494,0.04621008,-0.056120273,0.032078736,-0.06912824,0.006123144,-0.004512239,-0.017152682,-0.012047738,0.006005734,0.002073705,0.04914408,-0.047867354,-0.038351662,-0.03327754,0.044495597,0.040730532,0.02688186,0.018002259,0.007029287,0.016600134,0.03509043,0.032661412,-0.082504,0.042828873,-0.01738318,-0.03178586,-0.048794657,-0.04114224,0.010861321,0.049815677,-0.045154806,0.013283619,0.04400261,-0.026004344,0.01814023,-0.011230859,0.008121393,-0.017276155,0.002093739,0.010255488,0.024639597,-0.004882947,0.01241325,0.04223989,0.015983468,-0.053165037,0.012927498,-0.019008772,0.045256928,0.0476227,-0.003390554,-0.02551837,0.01907776,-0.020838635,0.04522404,-0.015477087,0.06259176,-0.001037734,0.053324983,0.032145016,-0.017933646,-0.014581521,-0.008998731,0.04532461,-0.062299225,0.005964525,-0.03255712,-0.035210885,-0.05482513,-0.006744685,0.03761012,0.0570909,0.038490172,0.04166807,0.050007448,-0.057176445,-0.04790351,-0.010881172,-0.016128136,0.008999975,0.03650577,0.01858919,-0.0340112,-0.002550528,0.003087287,-0.010345614,0.00480548,0.041151986,-0.059863463,-0.024441382,-0.039874133,-0.032382224,-0.04425109,-0.01948694,-0.047951687,-0.027953409,0.013781342,0.012223004,0.006447664,-0.06101005,0.001482533,-0.004099709,0.000572598,0.011225046,0.03329254,0.0793205,-0.004636976,0.022651888,0.035506647,0.01828766,-0.038341813,0.010742944,-0.032936122,-0.028087324,-0.03114796,-0.029978627,0.016682021,-0.006744295,0.029979883,0.058423277,-0.02493101,-0.012870606,0.04467271,0.021490285,-0.0327704,0.040824026,-0.003658459,-0.008945241,-0.016678328,-0.059142273,-0.053929254,0.053923354,0.057369564,0.015727775,0.00858424,-0.003402731,-0.035872024,-0.04590604,-0.016833806,0.032817706,0.04640552,-0.038459532,-0.006995313,0.013240866,0.056435082,0.040019535,0.015508549,-0.005765125,0.026059622,-0.026754627,0.043690994,-0.038754776,-0.05737333,-0.02017394,-0.06711828,-0.032216664,0.045531336,0.025713013,0.022184262,0.04900201,-0.06905455,-0.017935785,-0.025379566,0.060197588,0.00412747,-0.003544303,-0.049063325,-0.015343903,0.03906832,-0.053594273,-0.007141552,0.003918563,-0.01128291,-0.00565033,0.028865341,0.022487551,-0.054388158,0.027629055,0.04407757,0.016666412,-0.005332919,-0.001015654,0.021783734,0.012256346,0.042030975,0.049217176,0.03671951,-0.011430919,0.032329515,-0.004939404,0.03742809,-0.007198502,-0.044213004,-0.02837289,-0.018570833,0.034864113,0.04823925,0.04965993,-0.0353714,0.023512222,0.04041594,-0.07128477,-0.065207765,-0.062942766,0.026717367,-0.024806786,-0.027825171,-0.003319668,0.0155958,0.006236066,0.019483516,0.024320677,0.015594646,-0.010301569,-0.041332,-0.036650185,-0.03740164,0.02518148,-0.01141349,0.008400481,0.013537482,0.013570039,0.008978875,-0.006240552,0.009253876,0.04738081,0.008263432,0.027500868,-0.017377902,-0.032118425,-0.038866144,-0.055062752,-0.020798778,-0.016628731,-0.060014393,0.054173023,0.050210673,-0.05387565,-0.032573633,-0.02904727,0.013627531,-0.050151676,0.027877798,0.017482907,0.03398258,-0.036468863,-0.035962556,0.020713195,-0.0142798,0.004340123,-0.041733235,-0.047728337,-0.000950141,-0.022078533,-0.021412628,0.054414064,-0.043864097,-0.003484502,0.042947777,-0.004713385,-0.04288142,-0.033447918,-0.049385507,-0.043967884,0.00954585,-0.031274702,0.046465352,0.015311764,-0.03810354,0.044551346,-0.016421689,-0.021428978,0.008106137,0.05201403,0.014230609,-0.019381423,0.038039804,0.016310565,0.04659373,-0.01262196,-0.012933762,-0.06091175,-0.01868266,0.012296002,0.006061611,-0.020347524,0.041199982,0.02659443,0.028025437,-0.032281414,-0.000667432,0.000362414,0.058320254,-0.029419778,-0.020534923,-0.029599663,-0.025694683,-0.022579622,-0.04085554,-0.000999332,-0.070970744,-0.043756492,0.002799893,0.02272367,0.028100736,-0.03427914,0.042747248,-0.05950165,0.005203521,0.041255265,-0.008515395,-0.037134346,0.035887677,0.033087127,0.00083574,0.026696596,0.019118676,-0.026636874,0.06531926,-0.03408053,-0.018585447,0.048042238,-0.017145973,0.017039156,0.03152511,0.004221878,0.037373316,0.04000265,-0.04122865,-0.038082734,-0.001840952,-0.001166287,-0.063992426,-0.02011265,-0.026191028,-0.051003505,0.0442613,0.02671513,0.0416123,0.03126594,0.06520229,0.024613177,0.046358854,-0.008614874,0.020434486,-0.008497817,0.007579451,-0.04788877,-0.04397954,0.007796105,-0.02080637,-0.016735487,0.029014127,0.000940135,0.027597714,-0.021815155,0.060607206,0.01232955,0.022840839,-0.049829166,0.07321467,0.002959187,0.028284721,0.015072503,-0.027902756,0.023975061,0.006284572,-0.04439997
-0.05489725,-0.03808842,0.040603742,-0.011369163,-0.017977763,-0.027547717,0.000646025,-0.001419934,-0.03046364,-0.043729547,-0.009727848,-0.008796631,-0.007048365,-0.008742991,0.008837288,-0.022001801,-0.04087618,-0.07983298,0.021579884,0.032448024,-0.031969123,0.013927661,0.008319115,-0.039692026,-0.06907638,-0.009448333,-0.034118507,0.019003032,0.008594005,0.013042737,0.027208695,-0.031536445,0.004835437,-0.00205019,0.004154802,-0.018364154,-0.04238071,-0.008497552,0.07891084,-0.008848099,-0.018590366,0.01270655,0.000698464,-0.057136796,0.03303444,0.006989489,-0.026417559,0.024712054,-0.05113899,-0.02161037,0.008111736,0.023904566,0.006400698,-0.03031677,0.022429941,0.059728097,0.045034,0.000247845,0.07049197,-0.0216199,-0.000333278,-0.033746023,0.029213065,-0.051453784,0.043483637,-0.003074356,0.050707284,0.010407883,-0.044545423,0.004043507,-0.034432143,0.007605219,-0.029764334,0.002164514,-0.009205471,0.020439431,0.01433948,-0.007543411,-0.01707676,-0.004701603,-0.037065618,0.036181584,0.030274855,-0.011025231,0.027824422,0.020536909,0.05277399,0.040497053,0.04965097,-0.04992486,0.035026275,0.058219135,-0.02754138,0.031336207,-0.02080996,0.051715296,0.027916066,-0.015374263,0.00291118,-0.040300075,0.0490025,-0.016938236,-0.020561654,0.012122273,-0.017145706,-0.01757626,0.023035474,0.007021702,-0.007660056,0.011283945,0.054988414,-0.00026192,0.000610359,-0.054973852,-0.002211343,-0.025000418,-0.04202529,0.011620523,-0.02274754,-0.018123124,-0.04336218,0.024878955,-0.018212657,-0.05294363,0.009715821,0.005914444,-0.052404966,-0.004079699,-0.027737835,-0.00896936,-0.037274443,0.035845205,-0.024220312,-0.006799071,-0.021993855,-0.008973165,-0.005540724,-0.06143089,0.000480839,0.019321151,0.014997011,0.017653352,-0.015475166,0.010729028,0.025490588,0.002821934,0.00033014,-0.045796946,0.01807868,-0.033043128,0.02230212,0.04238023,0.032942463,-0.041156847,0.031152053,0.007993327,-0.031446528,0.024056802,0.040785197,-0.00631227,-0.028624471,0.039472263,-0.055001713,-0.039232746,-0.019114923,0.01866604,0.007985423,-0.003810972,0.002455226,-0.024375347,0.016327063,0.010295121,-0.001074456,-0.007350475,-0.01015078,-0.027769705,-0.029499453,-0.019339193,0.017855145,-0.044183202,-0.009192311,-0.010777109,-0.035875186,-0.039427232,0.010906207,0.015155895,0.008168022,-0.006539802,0.010048727,0.023817161,0.007998852,-0.031465594,0.010173672,0.004669186,0.023376513,0.05005016,0.020385196,-0.022343269,0.06360811,0.003247447,0.023923073,0.020288575,0.024108494,-0.01267924,-0.06160936,0.04676966,0.055606462,-0.008350665,0.002816656,-0.011331282,0.007318888,-0.011105716,0.049891505,-0.05516751,-0.006283045,-0.035055693,-0.075567454,0.01407343,0.001761331,0.016247448,-0.005318439,-0.04836714,-0.06182679,-0.015139279,-0.054465286,0.008285154,0.011104688,-0.000722901,0.016217697,-0.011086976,-0.032843105,0.005934369,0.02187829,0.013683965,-0.03504799,0.000666666,0.040363926,0.042176977,0.027653731,-0.04886503,-0.037703212,0.03042427,-0.012072804,-0.030085137,-0.008651852,-0.009787632,-0.017960757,0.001451756,-0.036626894,-0.029839436,-0.0148872,-0.012254685,-0.029621022,-0.04274281,0.002253002,0.020060958,0.015929243,-0.008698874,-0.043292798,-0.020904928,-0.004243249,-0.009514964,-0.013359049,-0.06606961,-0.02881826,-0.066178024,0.05847764,0.049831655,-0.008617289,-0.03292974,-0.03385547,-0.048922945,0.026326794,0.009850784,-0.014734248,0.011930911,0.024193436,0.07384889,0.037984572,-0.01213655,-0.01045558,-0.05603988,0.05109723,0.04121582,-0.022771971,0.023912188,-0.022486914,-0.035879146,-0.038105927,-0.048969522,-0.02954238,-0.01837742,-0.02231412,-0.017714119,-0.041382905,0.05399699,0.000851502,-0.025541035,0.014338214,0.047992323,0.026544398,0.012538304,-0.022823386,0.000196117,0.001709181,0.006239974,-0.016650185,-0.020674981,0.003284669,-0.051588442,-0.004876561,0.03311599,0.013316806,0.014683402,-0.001532996,-0.010586865,0.024981592,0.052533828,0.05315951,0.06726183,0.016323585,-0.03198436,0.040403485,-0.041124314,-0.036308344,-0.008436777,0.034799986,0.035760872,-0.008888227,-0.01246535,-0.032911036,-0.043650698,0.015598681,0.01685717,0.019730283,-0.06509823,-0.030842964,-0.030849246,-0.009470739,0.028675089,-0.038442235,-0.014352948,-0.003144998,0.002929867,-0.00482151,0.037067376,0.057809886,-0.010747732,-0.011834497,-0.03578064,-0.0532868,-0.048550267,-0.006315222,-0.038218573,0.002242935,-0.014915597,-0.02179582,-0.02556051,-0.027444845,0.05038274,0.04309349,0.02088321,0.03845044,-0.003470459,-0.009787603,0.054772757,-0.064994596,-0.010658448,0.006858897,0.023882262,-0.027359392,-0.001114816,0.031299546,0.012701494,0.057059284,0.016342968,0.00993001,-0.10363203,0.011273617,-0.01604631,-0.034301605,0.03863617,0.02400394,-0.002722668,-0.014147703,0.037493158,0.025701743,0.005157399,-0.05844104,-0.016073989,-0.021032438,0.003341099,0.044299535,-0.04011014,-0.020471198,-0.04907768,-0.010335925,-0.037678927,0.006258231,0.048353255,0.05199164,-0.04796,-0.020303844,0.01738258,0.041632608,-0.0368838,0.033554092,-0.022054505,0.03295902,0.04947979,0.002297441,0.000661739,-0.013835933,0.011689613,-0.000765666,0.011459486,-0.009989661,0.02202417,-0.020928347,-0.02124518,-0.004783978,0.017499862,-0.022466494,0.00941859,0.036261972,-0.05105681,-0.014537572,0.009823571,0.000977963,0.048449643,0.037220288,-0.062131684,0.033751972,0.06255713,-0.025229175,0.00629889,-0.02637133,0.026121784,-0.030503605,-0.049127,-0.037710685,-0.002832832,0.004006581,-0.031164896,-0.006277346,-0.04385642,0.060996514,0.029639052,0.030244894,0.030084414,-0.0345973,-0.013758855,-0.018527988,0.012958774,0.035613634,0.071944736,-0.020128129,-0.024870751,-0.001264177,0.002934135,-0.044413194,0.02083237,0.01105566,0.035639368,-0.06638647,-0.010179117,0.015393231,-0.031604324,-0.019771129,-0.024033586,-0.050722167,-0.037484333,-0.019175636,-0.002540842,-0.0647846,-0.011096434,0.007983093,-0.012055885,-0.002451341,-0.03915894,0.009969946,-0.007121982,0.00663132,0.024452515,-0.035520438,-0.007390125,-0.018665092,-0.02873863,0.014851355,-0.031155718,0.035017494,-0.051341448,-0.043137293,0.011090253,-0.005307024,0.060744498,0.017111223,-0.034041736,0.012319286,0.032420393,0.019584129,-0.010930142,-0.003274391,0.040052626,0.016054703,0.03544898,0.046990667,-0.005128463,-0.044137206,-0.08453148,-0.044907905,-0.07022644,-0.014016524,-0.047249198,-0.001874703,0.06357498,0.007721299,-0.035771217,0.03941117,-0.054557912,-0.011821695
-0.030766845,0.04334414,-0.050205823,0.05731276,0.02299295,-0.015823938,0.0751188,0.047731046,0.06753923,0.08203987,0.053326163,0.043503344,0.04139806,-0.004181583,0.026133444,-0.040277626,-0.06632518,0.022381315,-0.006144517,-0.015620375,0.07117513,0.027131706,0.052978564,-0.038132574,-0.014742247,-0.026486287,0.06480174,0.07653115,0.0825107,0.08115204,0.069295906,0.046754807,0.04532553,0.083795115,0.05032206,0.060017623,0.006004436,0.06412922,0.029644152,-0.049381364,0.055484742,-0.024054874,0.043328427,0.020683078,0.06102728,-0.061142385,0.060944844,-0.0254373,-0.03774946,0.054892235,0.044957504,0.060939416,0.011011277,0.063497774,0.033993814,0.043173555,0.018957417,-0.007894953,0.018980049,0.058513083,-0.024894549,0.08300006,0.00025595,0.05532961,0.015801538,0.021574484,-0.020498924,0.042698216,0.062765084,0.06390319,-0.007957825,0.011311867,0.00386215,-0.014203551,0.03333551,0.03553802,0.07264074,0.057313707,0.04738307,0.009128608,-0.00197647,0.06013828,0.04456239,-0.07014692,0.003415696,0.018174443,0.04111496,-0.03779135,-0.011272592,0.034613907,-0.039267473,0.04053018,-0.003294092,0.026553286,0.010386407,-0.020326924,-0.00464592,0.010072413,0.006999939,0.01676863,-0.00735129,0.06858577,0.057163842,-0.002128127,-0.059473854,0.029137043,-0.022547249,0.008482027,0.07234714,-0.026373092,-0.013594383,0.0703406,0.042405643,0.039977703,0.071089156,0.007185456,0.03329091,0.037566848,0.045940187,0.036805287,0.04799644,-0.02764912,-0.018463809,0.07159318,0.03641817,0.06655703,0.038080893,-0.043116275,0.015640425,0.073580705,0.04097196,0.010901392,-0.007493754,-0.016125558,0.004363052,-0.028601216,0.035456866,-0.016016524,0.06595248,0.061890367,-0.008770001,0.08013299,0.002316462,-0.07473517,0.051403675,0.014663709,0.048253503,0.013160025,0.0691906,0.043292645,0.033705667,0.032536183,0.058031477,0.07707496,0.039971665,0.041841254,0.06831587,0.05947291,-0.021788426,0.08671259,0.02167351,0.0723234,-0.040824693,0.05640852,-0.04492134,-0.03935644,-0.004973061,0.05404952,0.01572086,-0.028423278,-0.048259992,-0.012678829,0.035120904,-0.02894722,0.06110614,0.023599718,0.080542356,0.10536327,-0.004112925,0.003994558,0.013235627,0.07941166,0.074085526,0.01325565,0.036215685,-0.035572156,0.027215477,-0.054816734,-0.010629277,-0.005864689,0.054388747,0.03999883,0.00266834,0.032815058,-0.037326775,-0.070123754,0.06982645,0.030818125,-0.024373822,0.068758555,0.06474042,-0.001513791,0.08339538,0.03687651,0.0565497,0.02910683,-0.033390943,0.008971418,0.022840181,0.017415041,-0.038990684,0.078667544,-0.001269118,0.034006786,-0.001541709,-0.010060902,0.0322598,0.037394784,0.044455342,0.049132057,0.05894013,-0.009779246,-0.06769171,0.008959161,-0.06617625,0.05145539,0.06054711,0.002203151,0.053125467,0.055198375,-0.031409197,0.03233425,-0.004116627,0.05451238,0.041160185,0.04311519,0.03206667,-0.041919265,-0.0715241,0.029561492,0.043938257,0.031478126,-0.0228032,0.04583663,0.08065925,0.022183524,0.03825267,0.029761799,-0.007420424,-0.008251884,0.06649562,0.04393414,0.07530119,0.07195098,0.08187014,0.047428634,0.04686651,0.044849854,0.001272932,0.033281825,0.03282813,0.036591202,0.006216757,0.06509204,0.019232856,0.046721563,-0.004588754,0.013134009,0.04823763,0.045778416,0.036091212,0.051110487,0.058910053,0.027926978,0.001829084,-0.010800412,0.023629235,0.046424787,0.043328088,0.011335474,0.013880203,0.03164227,0.03566329,0.018203175,0.034626245,0.06591901,0.002967014,0.087011784,0.04811151,0.044196192,0.06741758,0.028011682,0.025071006,0.04348646,-0.0180301,0.004337522,0.039798956,0.07016432,-0.002968367,0.003779101,0.07117121,0.07493654,-0.02112422,-0.005908454,0.001360754,0.0552373,0.06737783,-0.042063076,0.041984774,-0.008800323,0.048938595,0.049368247,0.055849534,0.06666965,-0.020283923,-0.005937101,0.012273508,0.07991913,0.06484401,0.066235766,0.043225665,0.007831371,0.0714624,0.031339124,-0.070139214,0.027166069,0.037808508,0.001708336,0.028919967,0.06984417,0.023399413,0.050146908,-0.03411577,0.042038925,0.010619622,0.041420825,0.053812142,0.059350133,0.045864243,0.034159146,0.043610383,0.036726452,0.010754704,0.07478614,0.076896146,0.031177467,0.0663273,-0.002914655,0.068821035,0.031276993,0.03865857,-0.024018029,0.032227542,0.06487346,0.03503006,0.03318309,0.046675947,0.010287873,0.016740872,-0.002107308,0.040172033,-0.05051268,-0.02329674,0.007814828,0.06471232,0.05142638,0.000571812,0.08378966,0.07128139,0.06748118,0.002075685,0.06577099,0.020568011,0.016314242,0.025835358,0.03799155,0.06530377,-0.018823257,-0.009142975,0.056796912,0.03071679,-0.036231365,0.035733268,0.04745264,0.045970567,0.00779818,0.06330287,0.05528651,0.038444553,-0.001223203,0.054581735,-0.04511947,0.045674346,0.053127356,0.054484475,0.05230073,0.03217425,0.065132245,0.055932686,0.014743046,0.00991516,0.055679385,0.056035876,0.046240184,-0.003893599,-0.012935787,0.010261092,0.05665344,0.06301951,-0.032109957,0.066692695,0.049185712,0.06022663,-0.037547432,0.0694359,0.07316873,0.017784597,0.0860673,0.04260727,0.0441508,-0.006530956,0.06645918,0.001128928,0.040721644,0.07414091,0.06067377,0.053415343,0.053284395,0.021999646,-0.005842877,0.08720731,-0.003633818,0.032519534,0.043744523,0.07247433,-0.035804823,0.040241174,-0.06749515,-0.048818618,-0.017635135,0.039640125,0.057307642,0.046698958,0.06326515,0.018758977,0.047631,0.07424971,0.022962114,-0.012595754,-0.023015166,0.018050402,0.053190775,0.063241675,0.006981127,0.016309053,-0.01922179,0.03177735,0.054135736,0.05541685,0.06687467,0.05064291,-0.020652652,-0.016735299,-0.005004732,0.103925504,-0.00888495,0.00014639,0.007707661,0.06718924,0.003253577,-0.031902216,-0.004605756,0.056293465,-0.003097274,0.014454284,0.05062144,-0.049254864,0.025414808,0.03505998,-0.013170335,0.023186348,0.0673902,0.09974041,0.05490857,0.033761647,0.06313302,-0.00157054,0.03740433,0.05310167,-0.001012725,0.049715813,0.021036819,0.06348976,0.05900927,0.07772704,0.08075204,0.06782129,0.033621553,0.0198143,-0.005451645,0.05003951,0.03143901,-0.011296505,-0.07043033,0.02452004,0.06321638,-0.07816484,-0.002445204,-0.007865185,0.010112679,-0.03878156,0.051931668,0.018751645,-0.022840768,0.014048132,0.04072663,0.01061539,0.021054246,0.022390235,0.04851242,0.07330613
