,variable,value
0,CAJ-663,0.10191818181818181
1,CAM-666,0.12434583333333334
2,CAP-671,0.04757894736842105
3,CAS-674,0.10798800000000001
4,CAV-678,0.14092
5,CAY-681,0.06480416666666666
6,CBD-686,0.08333333333333333
7,CBF-691,0.08230869565217391
8,CBH-693,0.10276538461538462
9,CBJ-697,0.12388888888888888
10,CBL-698,0.09377894736842105
11,CBM-702,0.048111999999999995
12,CBP-707,0.12080714285714286
13,CBS-711,0.06316666666666666
14,CBW-715,0.12080476190476191
15,CCB-720,0.16493333333333335
16,CCD-722,0.08990714285714285
17,CCF-724,0.02
18,CCH-726,0.05839523809523809
19,CCX-744,0.1123809523809524
20,CDG-753,0.09982413793103449
21,CDH-754,0.05
22,CDM-759,0.09896250000000001
23,CDR-764,0.10275769230769233
24,CDU-767,0.07660526315789473
25,SGO-159,0.09867692307692308
26,SKE-234,0.11585
27,SMK-401,0.06850416666666666
28,SNI-300,0.08540588235294118
29,SNR-308,0.13737272727272726
30,SNT-310,0.11294545454545454
31,SNV-312,0.10157599999999999
32,SNY-315,0.10367058823529411
33,SOA-317,0.0
34,SOQ-329,0.10676799999999999
35,SPL-436,0.09444999999999999
36,SPV-450,0.10492631578947369
37,SRF-483,0.22036666666666668
38,SRR-498,0.047075
39,SSG-520,0.07118181818181818
40,SUG-544,0.11794615384615384
41,SVH-570,0.10923333333333334
42,SVY-587,0.12782352941176467
43,SZA-781,0.2103
