"","Subject","Group","Fluency_Item","Switch_Value","Switch_Method","domain","dimension","structure","alpha","method","param1","param2","param3","full_method","Cluster_Number","Switch","Switch_Number","row_id","fluency_score","semantic","phonological","frequency"
"18","CAF-657","NH","toad",1,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Switch Trial",8,18,28,0.500386496047719,1e-04,3.34
"19","CAF-657","NH","rat",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,19,28,0.752777860866755,1e-04,4.17
"20","CAF-657","NH","mouse",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,20,28,0.768353054741348,1e-04,4.31
"21","CAF-657","NH","woodchuck",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,21,28,0.717757659100464,0.125,2.3
"22","CAF-657","NH","fox",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,22,28,0.736926597655901,1e-04,4.66
"23","CAF-657","NH","possum",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,23,28,0.687698709842838,0.2,2.94
"24","CAF-657","NH","deer",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,24,28,0.584679465350053,1e-04,4.12
"25","CAF-657","NH","squirrel",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,25,28,0.716691807402276,1e-04,3.69
"26","CAF-657","NH","rabbit",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,26,28,0.803002946563213,0.1667,4.05
"27","CAF-657","NH","bluebird",0,"multimodaldelta_alpha=0.9_rise=0.2_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.2","fall=1.0","multimodaldelta_alpha=0.9_rise=0.2_fall=1.0",9,"Within Cluster Transition",NA,27,28,0.757191519362785,1e-04,2.91
