ID,Word1,Word2,Phonemes1,Phonemes2,Shared_Cont_Phonemes
CAF-657,lizard,cat,"[['L', 'IH1', 'Z', 'ER0', 'D']]","[['K', 'AE1', 'T']]",0
CAF-657,cat,hawk,"[['K', 'AE1', 'T']]","[['HH', 'AO1', 'K']]",1
CAF-657,hawk,dog,"[['HH', 'AO1', 'K']]","[['D', 'AO1', 'G']]",1
CAF-657,dog,turtle,"[['D', 'AO1', 'G']]","[['T', 'ER1', 'T', 'AH0', 'L']]",0
CAF-657,turtle,jellyfish,"[['T', 'ER1', 'T', 'AH0', 'L']]","[['JH', 'EH1', 'L', 'IY0', 'F', 'IH2', 'SH']]",1
CAF-657,jellyfish,bear,"[['JH', 'EH1', 'L', 'IY0', 'F', 'IH2', 'SH']]","[['B', 'EH1', 'R']]",1
CAF-657,bear,ant,"[['B', 'EH1', 'R']]","[['AE1', 'N', 'T']]",0
CAF-657,ant,mosquito,"[['AE1', 'N', 'T']]","[['M', 'AH0', 'S', 'K', 'IY1', 'T', 'OW0']]",1
CAF-657,mosquito,frog,"[['M', 'AH0', 'S', 'K', 'IY1', 'T', 'OW0']]","[['F', 'R', 'AA1', 'G']]",0
CAF-657,frog,tadpole,"[['F', 'R', 'AA1', 'G']]","[['T', 'AE1', 'D', 'P', 'OW2', 'L']]",0
CAF-657,tadpole,fish,"[['T', 'AE1', 'D', 'P', 'OW2', 'L']]","[['F', 'IH1', 'SH']]",0
CAF-657,fish,shark,"[['F', 'IH1', 'SH']]","[['SH', 'AA1', 'R', 'K']]",1
CAF-657,shark,dolphin,"[['SH', 'AA1', 'R', 'K']]","[['D', 'AA1', 'L', 'F', 'AH0', 'N']]",1
CAF-657,dolphin,gorilla,"[['D', 'AA1', 'L', 'F', 'AH0', 'N']]","[['G', 'ER0', 'IH1', 'L', 'AH0']]",1
CAF-657,gorilla,monkey,"[['G', 'ER0', 'IH1', 'L', 'AH0']]","[['M', 'AH1', 'NG', 'K', 'IY0']]",1
