"SID","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized"
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.2_fall=0.8",4.31890539662524,1.49125564839406,NA,133.367556639651
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.2_fall=1.0",4.31890903759316,1.49126261189486,NA,133.367556639685
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=0.0",4.33155487022386,2.68202811207196,NA,132.413580733476
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=0.2",4.39014424584289,2.55460445202418,NA,132.45465525981
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=0.5",4.23975999433025,1.21602290271073,NA,133.676495055369
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=0.8",4.3189127832658,1.49126572227502,NA,133.36755663972
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.5_fall=1.0",4.31889592660075,1.49125181529837,NA,133.367556639654
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.8_fall=0.0",4.28146709412291,2.59292031354014,NA,132.68214871944
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.8_fall=0.2",4.3376702142236,2.45876973178212,NA,132.71956238707
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.8_fall=0.5",4.18922466166665,1.04936923774808,NA,133.845362584993
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.8_fall=0.8",4.26610029366192,1.3474499469487,NA,133.564288394834
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=0.8_fall=1.0",4.26609492399399,1.34744677417158,NA,133.564288394838
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=1.0_fall=0.0",4.28146234223236,2.59290131678586,NA,132.682148719347
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=1.0_fall=0.2",4.33766225636151,2.45876645550953,NA,132.71956238708
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=1.0_fall=0.5",4.18922727915039,1.04936620519219,NA,133.845362584987
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=1.0_fall=0.8",4.26612136392394,1.34746603581477,NA,133.564288395027
"528353180","forage_dynamic_multimodaldelta_alpha=0.0_rise=1.0_fall=1.0",4.26611046873161,1.34746024454899,NA,133.564288394899
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.0_fall=0.0",4.66051999835443,4.25259599247706,NA,128.649985669886
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.0_fall=0.2",4.6021193954903,4.22594013371419,NA,127.59124509733
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.0_fall=0.5",4.70696926307368,4.08445871049871,NA,127.738288070208
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.0_fall=0.8",4.75176888365112,3.16750997137475,NA,129.630997564529
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.0_fall=1.0",4.75177802059573,3.16750033011874,NA,129.630997564494
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.2_fall=0.0",4.51530873603884,3.76148954862453,NA,130.28740887149
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.2_fall=0.2",4.53335778809384,3.9764797049226,NA,128.577136370396
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.2_fall=0.5",4.63094121543406,3.83949423985082,NA,128.705590363788
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.2_fall=0.8",4.66422328995572,2.91319322002321,NA,130.439972708466
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.2_fall=1.0",4.66423267537826,2.91320500316313,NA,130.439972708521
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.5_fall=0.0",4.33155610589853,2.68202037055412,NA,132.41358073345
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.5_fall=0.2",4.33156281554189,2.68202132666961,NA,132.413580733452
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.5_fall=0.5",4.39014408356815,2.55460350510471,NA,132.454655259809
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.5_fall=0.8",4.31890934855691,1.49126049280635,NA,133.367556639676
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.5_fall=1.0",4.31891411062612,1.49126154365782,NA,133.367556639703
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.8_fall=0.0",4.28146485002005,2.59289920740786,NA,132.682148719343
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.8_fall=0.2",4.28145609069455,2.59290589094949,NA,132.682148719379
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.8_fall=0.5",4.33766452260879,2.45878429442209,NA,132.719562387159
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.8_fall=0.8",4.26610584519044,1.34745271464826,NA,133.564288394848
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=0.8_fall=1.0",4.26610372706663,1.34745040491668,NA,133.564288394839
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=1.0_fall=0.0",4.24351415453217,2.78678675382472,NA,132.66550237087
"528353180","forage_dynamic_multimodaldelta_alpha=0.1_rise=1.0_fall=0.2",4.24350850099506,2.78679163240405,NA,132.665502370909
