Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.375,3.059309562630104,forage_dynamic,4.882759591653296,1.4380844509515884,6.008774925167319,1.3279423617135357,,
delta_rise=0.0_fall=0.0,9.375,3.059309562630104,forage_phonologicaldynamicglobal,4.886941398023877,1.446368930108894,6.486274181414553,1.7758220913452443,-0.05232343678032747,0.08169249313098637
delta_rise=0.0_fall=0.0,9.375,3.059309562630104,forage_phonologicaldynamiclocal,4.897424458262098,1.456009698133654,7.0703282455235605,2.498800097810249,-0.2624806717655405,0.641725920581655
delta_rise=0.0_fall=0.0,9.375,3.059309562630104,forage_phonologicaldynamicswitch,4.882007061136337,1.43322478336897,6.008486086346195,1.3279914304841516,-0.12873009282854608,0.547697383782692
delta_rise=0.0_fall=0.2,8.765625,2.8817431112739733,forage_dynamic,4.900519363037531,1.4463957175536815,6.027316023105547,1.3312673323081503,,
delta_rise=0.0_fall=0.2,8.765625,2.8817431112739733,forage_phonologicaldynamicglobal,4.905112976765357,1.4554295458205382,6.529996966877745,1.8090112978394088,-0.05461592009852936,0.08324019359389816
delta_rise=0.0_fall=0.2,8.765625,2.8817431112739733,forage_phonologicaldynamiclocal,4.908905329381313,1.4550551197451875,7.017898112851858,2.420422335948764,-0.18325421476247944,0.45817153416748996
delta_rise=0.0_fall=0.2,8.765625,2.8817431112739733,forage_phonologicaldynamicswitch,4.900414163734087,1.442339736187212,6.0270283592921805,1.3312992883715211,-0.11816218905101958,0.4938848755855105
delta_rise=0.0_fall=0.5,7.484375,2.5920080747125382,forage_dynamic,4.934588758870868,1.455303130478561,5.855476299969233,1.3909155667360078,,
delta_rise=0.0_fall=0.5,7.484375,2.5920080747125382,forage_phonologicaldynamicglobal,4.942034309179136,1.464728759715202,6.3514150983800395,1.8749553917252106,-0.055904247133220335,0.0841339001644991
delta_rise=0.0_fall=0.5,7.484375,2.5920080747125382,forage_phonologicaldynamiclocal,4.9401785439294015,1.4642917205344468,6.701302227580477,2.3650606556926737,-0.18089510111580034,0.4970611897526031
delta_rise=0.0_fall=0.5,7.484375,2.5920080747125382,forage_phonologicaldynamicswitch,4.933176470009452,1.4510851863240746,5.855250026616162,1.3909649894575578,-0.19533461471450325,0.6634002543742187
delta_rise=0.0_fall=0.8,5.890625,2.46295799992103,forage_dynamic,4.954667282260767,1.458563113686887,5.647515716226269,1.3623840959930598,,
delta_rise=0.0_fall=0.8,5.890625,2.46295799992103,forage_phonologicaldynamicglobal,4.963790913147097,1.474800201808958,6.124231006452104,1.8207381980540804,-0.057172186138317996,0.08304020008371445
delta_rise=0.0_fall=0.8,5.890625,2.46295799992103,forage_phonologicaldynamiclocal,4.961931913551164,1.472536639426897,6.3382664322128734,2.1673161404553616,-0.10983278784584095,0.3144921159651516
delta_rise=0.0_fall=0.8,5.890625,2.46295799992103,forage_phonologicaldynamicswitch,4.950971143205674,1.45366472903083,5.64769596008109,1.3623699667886484,-0.22554016774509683,0.7218326599864159
delta_rise=0.0_fall=1.0,5.203125,2.4760079229225016,forage_dynamic,4.978517602373001,1.4613360215847728,5.453131834485233,1.3823386116059224,,
delta_rise=0.0_fall=1.0,5.203125,2.4760079229225016,forage_phonologicaldynamicglobal,4.991328651198848,1.4791859964429783,5.897118493674739,1.8052377097326837,-0.0559629952285069,0.08317928701119884
delta_rise=0.0_fall=1.0,5.203125,2.4760079229225016,forage_phonologicaldynamiclocal,4.990787628655607,1.4748965562465752,5.974327107301715,1.8422529796866456,-0.06618363624795512,0.11174444552512569
delta_rise=0.0_fall=1.0,5.203125,2.4760079229225016,forage_phonologicaldynamicswitch,4.976569223460302,1.457666947502454,5.453243622398955,1.3821242125266153,-0.32759350516354857,0.8526732799471604
delta_rise=0.2_fall=0.0,10.046875,3.1889932164203487,forage_dynamic,4.879168142240468,1.4366843548238875,6.266977275345381,1.3777961084524522,,
delta_rise=0.2_fall=0.0,10.046875,3.1889932164203487,forage_phonologicaldynamicglobal,4.885290302406953,1.445534701315188,6.769759659674852,1.8254136401406047,-0.052544114350091244,0.08208638578944513
delta_rise=0.2_fall=0.0,10.046875,3.1889932164203487,forage_phonologicaldynamiclocal,4.898376110441082,1.4535299447591592,7.411866304706022,2.449997096940223,-0.3020911124444863,0.6938556549116008
delta_rise=0.2_fall=0.0,10.046875,3.1889932164203487,forage_phonologicaldynamicswitch,4.88043261525205,1.432763509186601,6.266421406314651,1.3778430626761795,-0.11291670320245026,0.4855192303224226
delta_rise=0.2_fall=0.2,9.40625,3.0757049496822675,forage_dynamic,4.899709315609772,1.4479114217191185,6.272416752436287,1.3717734146384886,,
delta_rise=0.2_fall=0.2,9.40625,3.0757049496822675,forage_phonologicaldynamicglobal,4.906519341322398,1.4579319385907923,6.801423386891258,1.8493978290131465,-0.05501573285862039,0.0836516244784766
delta_rise=0.2_fall=0.2,9.40625,3.0757049496822675,forage_phonologicaldynamiclocal,4.91375274409633,1.456660341101278,7.354800664643656,2.3799501556627685,-0.22870072905447283,0.551662130583124
delta_rise=0.2_fall=0.2,9.40625,3.0757049496822675,forage_phonologicaldynamicswitch,4.901517757330533,1.44473809664287,6.271898031999809,1.3717177212615184,-0.11911045504330504,0.504291683124305
delta_rise=0.2_fall=0.5,7.984375,2.842161300731364,forage_dynamic,4.937099866705148,1.461317498750249,6.059758591052048,1.405067679789175,,
delta_rise=0.2_fall=0.5,7.984375,2.842161300731364,forage_phonologicaldynamicglobal,4.943626722701546,1.4712740588874642,6.586602357769692,1.9198180200828427,-0.05691086810529613,0.08555305394923035
delta_rise=0.2_fall=0.5,7.984375,2.842161300731364,forage_phonologicaldynamiclocal,4.943186527834759,1.4693188127176977,6.999698343261743,2.4002087782275807,-0.17701177147568714,0.441657147124654
delta_rise=0.2_fall=0.5,7.984375,2.842161300731364,forage_phonologicaldynamicswitch,4.937357942039512,1.4589458841234773,6.059330826875202,1.4050941739850762,-0.18307657186101603,0.6279343163079881
delta_rise=0.2_fall=0.8,6.359375,2.7634171978503352,forage_dynamic,4.954301572764472,1.4607966598216877,5.829291065422282,1.379979599112722,,
delta_rise=0.2_fall=0.8,6.359375,2.7634171978503352,forage_phonologicaldynamicglobal,4.962114250444712,1.477487688097826,6.338182982759592,1.8778554057061891,-0.05850655257088705,0.08459390115669789
delta_rise=0.2_fall=0.8,6.359375,2.7634171978503352,forage_phonologicaldynamiclocal,4.962247352359401,1.4753805043782844,6.607081440604078,2.2372349175321165,-0.11467272827944713,0.2952371846775811
delta_rise=0.2_fall=0.8,6.359375,2.7634171978503352,forage_phonologicaldynamicswitch,4.953663664668929,1.4584724990428737,5.829143679711509,1.3798911580869915,-0.20730795768546034,0.6701322848130401
delta_rise=0.2_fall=1.0,5.65625,2.7398605689888673,forage_dynamic,4.977402833604627,1.4639648581626041,5.617841664607219,1.4140940478696018,,
delta_rise=0.2_fall=1.0,5.65625,2.7398605689888673,forage_phonologicaldynamicglobal,4.988926420878892,1.4822101652075614,6.091593611731529,1.8805434081041243,-0.057124230323416576,0.08477479940884171
delta_rise=0.2_fall=1.0,5.65625,2.7398605689888673,forage_phonologicaldynamiclocal,4.9906419641966675,1.476875405262752,6.204220272074678,1.943303242087094,-0.07151233979028365,0.11207897147077606
delta_rise=0.2_fall=1.0,5.65625,2.7398605689888673,forage_phonologicaldynamicswitch,4.9783814628850385,1.4628713851391004,5.617648943672971,1.4138157581799828,-0.2867207241311563,0.8027591270303153
delta_rise=0.5_fall=0.0,11.125,3.416412592179112,forage_dynamic,4.835343938749618,1.4222572756779583,6.696265515629741,1.3475031614975164,,
delta_rise=0.5_fall=0.0,11.125,3.416412592179112,forage_phonologicaldynamicglobal,4.841334049705539,1.4299609205802755,7.2526786365466505,1.9014816195897264,-0.053333419753471924,0.08256695771755401
delta_rise=0.5_fall=0.0,11.125,3.416412592179112,forage_phonologicaldynamiclocal,4.859003822732732,1.440137744767188,8.553321080871827,3.844673864797749,-0.436571550322024,0.8480577475671335
delta_rise=0.5_fall=0.0,11.125,3.416412592179112,forage_phonologicaldynamicswitch,4.834386192325806,1.418754104688326,6.696015585962403,1.347142046490815,-0.11429149144665007,0.5211644319225492
delta_rise=0.5_fall=0.2,10.453125,3.3303982846462974,forage_dynamic,4.85685524990125,1.4261172653748253,6.672530020466652,1.366200547848103,,
delta_rise=0.5_fall=0.2,10.453125,3.3303982846462974,forage_phonologicaldynamicglobal,4.863444731910119,1.4343843908895066,7.257424404488316,1.9512042866582149,-0.055974386251650625,0.08447206679540645
delta_rise=0.5_fall=0.2,10.453125,3.3303982846462974,forage_phonologicaldynamiclocal,4.874156560208355,1.433837455743496,8.46358851029519,3.8695700029903426,-0.35168897813062167,0.7191907945698404
delta_rise=0.5_fall=0.2,10.453125,3.3303982846462974,forage_phonologicaldynamicswitch,4.856813137297093,1.4235700889870497,6.672220915931398,1.3657523719424614,-0.12240237721471166,0.5445376256235004
delta_rise=0.5_fall=0.5,9.078125,2.9649235208306806,forage_dynamic,4.889542586581824,1.4369416576320337,6.4719841355976016,1.3545156415004473,,
delta_rise=0.5_fall=0.5,9.078125,2.9649235208306806,forage_phonologicaldynamicglobal,4.895927675908914,1.4453540939116156,7.051005548514762,1.938090726278089,-0.058175476548555406,0.0852662939186223
delta_rise=0.5_fall=0.5,9.078125,2.9649235208306806,forage_phonologicaldynamiclocal,4.893753023304683,1.4438487863694596,7.911022136634264,3.1922792896379457,-0.2971224732247333,0.6625571276344812
delta_rise=0.5_fall=0.5,9.078125,2.9649235208306806,forage_phonologicaldynamicswitch,4.887884105680381,1.4349946099926822,6.471647240088706,1.3540136172549642,-0.14885902220449088,0.5626831435625508
delta_rise=0.5_fall=0.8,7.3125,2.9361699116365862,forage_dynamic,4.91963434930861,1.4507241869663963,6.1417721585153675,1.2913724775904976,,
delta_rise=0.5_fall=0.8,7.3125,2.9361699116365862,forage_phonologicaldynamicglobal,4.927401874137757,1.4664682900470953,6.682607672883988,1.8154703837628203,-0.059592415780413174,0.08404865986506492
delta_rise=0.5_fall=0.8,7.3125,2.9361699116365862,forage_phonologicaldynamiclocal,4.9287067008864,1.4666846482085425,7.17159157520059,2.6617103968475484,-0.1855998631394506,0.4848064561960979
delta_rise=0.5_fall=0.8,7.3125,2.9361699116365862,forage_phonologicaldynamicswitch,4.916582982548002,1.448641651797002,6.1416879506641635,1.2908099071321164,-0.17799415666657664,0.6337002417499012
delta_rise=0.5_fall=1.0,6.546875,3.0048382209987614,forage_dynamic,4.945011747537595,1.4541861450368172,5.897002653790725,1.3791737025621964,,
delta_rise=0.5_fall=1.0,6.546875,3.0048382209987614,forage_phonologicaldynamicglobal,4.956558331321357,1.4713638623381913,6.399254426759962,1.8808747042760845,-0.05787581404778709,0.08424015179157418
delta_rise=0.5_fall=1.0,6.546875,3.0048382209987614,forage_phonologicaldynamiclocal,4.954847405349384,1.4680304527266714,6.727656402773906,2.4859530980434714,-0.12127606182509565,0.3353490120130761
