Forager_Word,Found,Original Found,AZ Close Matches
dairy cattle,TRUE,FALSE,nguni cattle
dairy cow,FALSE,FALSE,No close match found
dall sheep,TRUE,FALSE,sheep
dalmatian,TRUE,TRUE,"dalmatian, dalmatian mix"
damsel fish,TRUE,FALSE,"damselfish, taimen fish, drum fish"
damselfish,TRUE,TRUE,"damselfish, angelfish, taimen fish"
damselfly,TRUE,FALSE,damselfish
daphnia,FALSE,FALSE,No close match found
darkling beetle,TRUE,TRUE,"darkling beetle, dung beetle, bark beetle"
darning needle,TRUE,FALSE,darkling beetle
darter,TRUE,FALSE,drever
darwin frog,TRUE,FALSE,"darwins frog, darwins fox, burrowing frog"
daschund,TRUE,FALSE,"dachshund, dachshund mix"
dear,TRUE,FALSE,"deer, bear, eider"
decapod,FALSE,FALSE,No close match found
deer,TRUE,TRUE,"deer, drever, veery"
deerhound,TRUE,FALSE,"otterhound, keeshond, scottish deerhound"
degu,FALSE,FALSE,No close match found
desert tortoise,TRUE,TRUE,"desert tortoise, gopher tortoise, sulcata tortoise"
devil,FALSE,FALSE,No close match found
devon rex,TRUE,TRUE,devon rex
diamondback,TRUE,FALSE,diamondback moth
diamondback rattlesnake,TRUE,FALSE,"red diamondback rattlesnake, western diamondback rattlesnake, eastern diamondback rattlesnake"
diamondback terrapin,TRUE,FALSE,diamondback moth
dik-dik,TRUE,TRUE,dik-dik
dingo,TRUE,TRUE,"dingo, olingo"
dinosaur,TRUE,FALSE,"dinosaurs, titanosaur, pliosaur"
dinosaurs,TRUE,TRUE,"dinosaurs, spinosaurus, hainosaurus"
diplodocus,TRUE,TRUE,diplodocus
doberman,TRUE,FALSE,"goberian, birman, rotterman"
doberman pinscher,TRUE,TRUE,"doberman pinscher, doberman pinscher, german pinscher"
dodo,TRUE,TRUE,"dodo, daeodon"
dodo bird,FALSE,FALSE,No close match found
doe,TRUE,FALSE,"doxle, dhole, dorkie"
dog,TRUE,TRUE,"dog, dorgi"
dogfish,TRUE,FALSE,"hogfish, frogfish, fish"
doggie,TRUE,FALSE,"dorgi, dorkie, dog"
doggy,TRUE,FALSE,dog
dogs,TRUE,FALSE,"dog, dorgi"
dolphin,TRUE,TRUE,"dolphin, dusky dolphin"
dolphinfish,TRUE,FALSE,"pinfish, dolphin, lionfish"
domingo,TRUE,FALSE,"dingo, olingo, flamingo"
donkey,TRUE,TRUE,"donkey, zonkey, monkey"
doodlebug,TRUE,FALSE,"poodle, bordoodle"
dormouse,TRUE,TRUE,"dormouse, deer mouse, mouse"
dory,TRUE,FALSE,dorgi
dotterel,TRUE,FALSE,otter
double-crested cormorant,TRUE,FALSE,comb-crested jacana
dove,TRUE,FALSE,"doxle, dhole"
downy woodpecker,TRUE,TRUE,"downy woodpecker, woodpecker, hairy woodpecker"
dragon,TRUE,FALSE,"dragonfly, sea dragon, dragonfish"
dragon lizard,TRUE,FALSE,"black dragon lizard, sand lizard, draco volans lizard"
dragonfly,TRUE,TRUE,"dragonfly, dragonfish, dragon eel"
drake,TRUE,FALSE,dorkie
dray horse,TRUE,FALSE,"seahorse, horse"
dromedary,FALSE,FALSE,No close match found
drosophila,FALSE,FALSE,No close match found
drum fish,TRUE,TRUE,"drum fish, red drum fish, lumpfish"
duck,TRUE,TRUE,"duck, douc, dunnock"
duckbill,TRUE,FALSE,duck
duckbilled platypus,FALSE,FALSE,No close match found
duckling,TRUE,FALSE,duck
ducks,TRUE,FALSE,"duck, dunnock, douc"
dugong,TRUE,TRUE,"dugong, dog"
duiker,TRUE,FALSE,dunker
dung beetle,TRUE,TRUE,"dung beetle, darkling beetle, stag beetle"
dungeness crab,TRUE,TRUE,dungeness crab
dunlin,FALSE,FALSE,No close match found
dusky shark,TRUE,TRUE,"dusky shark, silky shark, nurse shark"
dwarf hamster,TRUE,TRUE,"dwarf hamster, teddy bear hamster, hamster"
dwarf rabbit,TRUE,FALSE,"rex rabbit, dwarf gourami, netherland dwarf rabbit"
dwarf sperm whale,TRUE,FALSE,sperm whale
eagle,TRUE,TRUE,"eagle, peagle, meagle"
eagle ray,TRUE,TRUE,"eagle ray, eagle, beaglier"
eaglet,TRUE,FALSE,"eagle, peagle, meagle"
eared grebe,TRUE,TRUE,"eared grebe, horned grebe, clarks grebe"
earthworm,TRUE,TRUE,"earthworm, armyworm, superworm"
earwig,TRUE,TRUE,earwig
eastern cottontail,TRUE,TRUE,"eastern cottontail, eastern dobsonfly, eastern woodrat"
eastern indigo snake,TRUE,TRUE,"eastern indigo snake, western blind snake, eastern tiger snake"
eastern kingbird,TRUE,TRUE,"eastern kingbird, western kingbird, eastern bluebird"
eastern lowland gorilla,TRUE,TRUE,"eastern lowland gorilla, western lowland gorilla, eastern gorilla"
eastern meadowlark,TRUE,TRUE,"eastern meadowlark, eastern gorilla"
eastern newt,TRUE,FALSE,"eastern woodrat, eastern racer, eastern phoebe"
eastern toebiter,TRUE,FALSE,"eastern phoebe, eastern bluebird, eastern racer"
echidna,TRUE,TRUE,echidna
echinoderm,TRUE,FALSE,"reindeer, eider"
eel,TRUE,TRUE,"eel, weasel, elk"
eelpout,TRUE,TRUE,eelpout
eels,TRUE,FALSE,eel
egret,TRUE,TRUE,"egret, ferret"
eider,TRUE,TRUE,"eider, reindeer, spider"
eider duck,TRUE,FALSE,eider
eland,TRUE,TRUE,"eland, pelican"
electric eel,TRUE,TRUE,"electric eel, american eel"
elephant,TRUE,TRUE,"elephant, elephant seal, elephant fish"
elephant seal,TRUE,TRUE,"elephant seal, elephant shrew, elephant beetle"
elk,TRUE,TRUE,"elk, eel"
elkhound,TRUE,FALSE,"greyhound, swedish elkhound, otterhound"
elver,TRUE,FALSE,"drever, beaver, deer"
emerald shiner,TRUE,FALSE,"mal shi, golden shiner, emerald toucanet"
emperor penguin,TRUE,TRUE,"emperor penguin, royal penguin, macaroni penguin"
emu,TRUE,TRUE,"emu, lemur"
equine,TRUE,FALSE,ermine
ermine,TRUE,TRUE,"ermine, termite, wolverine"
escolar,TRUE,TRUE,"escolar, saola"
eugarie,TRUE,FALSE,"eurasier, egret"
evening grosbeak,TRUE,TRUE,"evening grosbeak, evening bat, blue grosbeak"
ewe,TRUE,FALSE,"eel, bee"
fairy shrimp,TRUE,FALSE,"shrimp, dinosaur shrimp, amano shrimp"
fairy tern,TRUE,FALSE,fairy-wren
falcon,TRUE,TRUE,"falcon, salmon"
fall armyworm,TRUE,FALSE,armyworm
fall webworm,FALSE,FALSE,No close match found
fallow deer,TRUE,TRUE,fallow deer
fawn,TRUE,FALSE,prawn
feline,TRUE,FALSE,"linnet, ermine"
fennec fox,TRUE,TRUE,fennec fox
ferret,TRUE,TRUE,"ferret, egret, sable ferret"
fiddler crab,TRUE,TRUE,fiddler crab
filaria,FALSE,FALSE,No close match found
filly,TRUE,FALSE,"fly, firefly"
fin whale,TRUE,TRUE,"fin whale, minke whale, sei whale"
finback,TRUE,FALSE,finch
finback whale,TRUE,FALSE,"fin whale, minke whale, humpback whale"
finch,TRUE,TRUE,"finch, red finch, fish"
fire ant,FALSE,FALSE,No close match found
firebird,TRUE,FALSE,"lyrebird, frigatebird, bird"
firebug,TRUE,FALSE,frug
firefly,TRUE,TRUE,"firefly, horsefly, fire eel"
fish,TRUE,TRUE,"fish, fisher, sawfish"
fish eagle,TRUE,FALSE,"sea eagle, schneagle, african fish eagle"
fisher,TRUE,TRUE,"fisher, fish, kingfisher"
fisher cat,TRUE,FALSE,"fishing cat, fisher"
flacon,TRUE,FALSE,falcon
flamingo,TRUE,TRUE,"flamingo, olingo, lemming"
flatfish,TRUE,FALSE,"catfish, batfish, lancetfish"
flathead catfish,TRUE,TRUE,"flathead catfish, hardhead catfish, blue catfish"
flatworm,TRUE,FALSE,"earthworm, worm"
flea,TRUE,TRUE,flea
flea beetle,TRUE,TRUE,"flea beetle, flour beetle, figeater beetle"
flies,TRUE,FALSE,"flea, fish"
flounder,TRUE,TRUE,"flounder, flounder fish"
fly,TRUE,TRUE,"fly, mayfly"
fly fish,TRUE,FALSE,"flying fish, ladyfish, butterfly fish"
flycatcher,TRUE,TRUE,"flycatcher, least flycatcher, willow flycatcher"
flying fish,TRUE,TRUE,"flying fish, lungfish, lionfish"
flying monkey,TRUE,FALSE,"flying snake, woolly monkey"
flying snake,TRUE,TRUE,"flying snake, king snake, blind snake"
flying squirrel,TRUE,TRUE,"flying squirrel, fox squirrel, squirrel"
foal,TRUE,FALSE,"koala, goral, fossa"
forest tent caterpillar,TRUE,FALSE,"tent caterpillar, asp caterpillar, bagworm moth caterpillar"
fossa,TRUE,TRUE,"fossa, tosa"
four eye butterfly fish,TRUE,FALSE,"butterfly fish, wrought iron butterflyfish"
foureye butterflyfish,TRUE,FALSE,"butterfly fish, wrought iron butterflyfish"
fowl,TRUE,FALSE,"owl, elf owl"
fox,TRUE,TRUE,"fox, ox"
fox squirrel,TRUE,TRUE,"fox squirrel, squirrel, red squirrel"
fox terrier,TRUE,TRUE,"fox terrier, toy fox terrier, wire fox terrier"
foxes,TRUE,FALSE,"fox, fox snakes"
foxhound,TRUE,FALSE,"otterhound, english foxhound, bloodhound"
french bulldog,TRUE,TRUE,"french bulldog, french bulldog mix, english bulldog"
fresh water fish,TRUE,FALSE,"freshwater sunfish, freshwater jellyfish, freshwater eel"
freshwater eel,TRUE,TRUE,"freshwater eel, freshwater jellyfish, freshwater drum"
freshwater fish,TRUE,FALSE,"freshwater sunfish, freshwater jellyfish, freshwater eel"
freshwater mussel,TRUE,FALSE,"freshwater eel, freshwater drum, freshwater sunfish"
friesian,TRUE,FALSE,persian
frog,TRUE,TRUE,"frog, frug, frogfish"
frogfish,TRUE,TRUE,"frogfish, hogfish, rockfish"
froghopper,TRUE,FALSE,"treehopper, grasshopper"
frogmouth,TRUE,FALSE,tawny frogmouth
fruit bat,TRUE,TRUE,"fruit bat, fruit fly"
fruit fly,TRUE,TRUE,"fruit fly, fruit bat"
fulmar,FALSE,FALSE,No close match found
fungi,TRUE,FALSE,frug
fungus gnat,FALSE,FALSE,No close match found
gaboon viper,TRUE,TRUE,"gaboon viper, sand viper, horned viper"
gadfly,TRUE,FALSE,"mayfly, fly"
gal,TRUE,FALSE,"goral, gar"
gall midge,FALSE,FALSE,No close match found
gall wasp,FALSE,FALSE,No close match found
gallinule,TRUE,FALSE,"purple gallinule, gollie"
gamecock,TRUE,FALSE,peacock
gander,TRUE,FALSE,"sandpiper, merganser, meganeura"
gannet,TRUE,FALSE,"genet, linnet, ant"
gar,TRUE,TRUE,"gar, jaguar, cougar"
garden snake,TRUE,FALSE,"green snake, garter snake, ground snake"
garfish,TRUE,FALSE,"oarfish, starfish, fish"
garibaldi,TRUE,FALSE,gharial
garter snake,TRUE,TRUE,"garter snake, texas garter snake, tiger snake"
gator,TRUE,FALSE,"gar, gastornis, goat"
gaur,TRUE,FALSE,gar
gavial,TRUE,FALSE,gharial
gazelle,TRUE,TRUE,gazelle
gecko,TRUE,TRUE,"gecko, glechon"
geese,FALSE,FALSE,No close match found
gelding,TRUE,FALSE,dingo
gemsbok,FALSE,FALSE,No close match found
genet,TRUE,TRUE,"genet, newt, gnat"
geoduck,TRUE,FALSE,"duck, gecko"
gerbil,TRUE,TRUE,gerbil
gerbils,TRUE,FALSE,gerbil
german shepard,TRUE,FALSE,"german sheprador, german shepherd mix, german sheppit"
german shepherd,TRUE,FALSE,"german shepherd mix, corman shepherd, blue german shepherd"
gharial,TRUE,TRUE,"gharial, urial, goral"
ghost crab,TRUE,TRUE,"ghost crab, stone crab, ghost catfish"
giant,TRUE,FALSE,"ant, goat, goat"
giant anteater,TRUE,FALSE,"giant beaver, giant panda bear, anteater"
giant panda,TRUE,FALSE,"giant panda bear, giant isopod, giant weta"
giant schnauzer,TRUE,TRUE,"giant schnauzer, parti schnauzer, giant schnoodle"
giant squid,TRUE,FALSE,giant isopod
giant tortoise,TRUE,FALSE,"egyptian tortoise, russian tortoise, aldabra giant tortoise"
gibbon,TRUE,TRUE,"gibbon, baboon"
gila monster,TRUE,TRUE,"gila monster, tully monster, nile monitor"
giraffe,TRUE,TRUE,giraffe
glaucus,FALSE,FALSE,No close match found
glider,TRUE,FALSE,"liger, eider, beaglier"
globefish,TRUE,FALSE,"blobfish, goby fish, anglerfish"
glowworm,TRUE,TRUE,"glowworm, slow worm, worm"
gnat,TRUE,TRUE,"gnat, goat, goat"
gnatcatcher,TRUE,FALSE,"blue gray gnatcatcher, least flycatcher, flycatcher"
gnu,FALSE,FALSE,No close match found
goanna,TRUE,FALSE,iguana
goat,TRUE,TRUE,"goat, goat, gnat"
goatfish,TRUE,FALSE,"oarfish, catfish, batfish"
goats,TRUE,FALSE,"goat, goat, gnat"
goby,TRUE,FALSE,booby
godwit,FALSE,FALSE,No close match found
godzilla,TRUE,FALSE,gorilla
gold fish,TRUE,FALSE,"goldfish, goby fish, golden irish"
golden eagle,TRUE,TRUE,"golden eagle, golden mole, bald eagle"
golden labrador,TRUE,FALSE,"silver labrador, golden dox, golden lancehead"
golden marmot,TRUE,FALSE,"golden mole, golden saint, golden dox"
golden plover,TRUE,FALSE,"golden mole, golden shepherd, golden dox"
golden retriever,TRUE,TRUE,"golden retriever, golden retriever mix, golden pyrenees"
golden shiner,TRUE,TRUE,"golden shiner, golden saint, golden shepherd"
goldendoodle,TRUE,TRUE,"goldendoodle, golden oriole, golden mole"
goldfinch,TRUE,FALSE,"goldfish, gouldian finch, finch"
goldfish,TRUE,TRUE,"goldfish, oilfish, codfish"
gooney bird,TRUE,FALSE,honey buzzard
goose,TRUE,TRUE,"goose, moose, mongoose"
gopher,TRUE,TRUE,"gopher, grouper, gopher snake"
gopher snake,TRUE,TRUE,"gopher snake, tiger snake, garter snake"
gopher tortoise,TRUE,TRUE,"gopher tortoise, leopard tortoise, desert tortoise"
gopher turtle,TRUE,FALSE,"gopher tortoise, river turtle, sea turtle"
gorgonian,TRUE,FALSE,"yoranian, goberian"
gorilla,TRUE,TRUE,"gorilla, corella, krill"
goshawk,TRUE,TRUE,"goshawk, hawk, shark"
gosling,TRUE,FALSE,"olingo, pangolin"
grackle,TRUE,FALSE,"goral, common grackle, barnacle"
grass snake,TRUE,TRUE,"grass snake, rat snakes, zebra snake"
grasshopper,TRUE,TRUE,"grasshopper, grasshopper mouse, grass spider"
grasshopper mouse,TRUE,TRUE,"grasshopper mouse, grasshopper"
gray catbird,TRUE,TRUE,gray catbird
gray fox,TRUE,TRUE,"gray fox, red fox"
gray jay,FALSE,FALSE,No close match found
gray mullet,FALSE,FALSE,No close match found
gray partridge,TRUE,FALSE,"partridge, gray catbird"
gray treefrog,TRUE,FALSE,"gray tree frog, green tree frog, tree frog"
gray whale,TRUE,FALSE,sperm whale
gray wolf,TRUE,FALSE,"red wolf, gray fox, dire wolf"
graywolf,TRUE,FALSE,"wolf, wolf"
great auk,TRUE,FALSE,"great dane, green rat snake"
great blue heron,TRUE,TRUE,"great blue heron, green heron, grey heron"
great crested grebe,TRUE,FALSE,"eared grebe, great crested flycatcher, great egret"
great dane,TRUE,TRUE,"great dane, great danoodle, great dane mix"
great horned owl,TRUE,FALSE,long-eared owl
great pyrenees,TRUE,TRUE,"great pyrenees, great pyrenees mix, golden pyrenees"
great white shark,TRUE,TRUE,"great white shark, great white shark, white shark"
greater yellowlegs,FALSE,FALSE,No close match found
grebe,TRUE,TRUE,grebe
green lacewing,TRUE,FALSE,greenland dog
green mamba,TRUE,TRUE,"green mamba, western green mamba, eastern green mamba"
green tree frog,TRUE,TRUE,"green tree frog, gray tree frog, green frog"
green tree python,TRUE,TRUE,"green tree python, green tree frog, carpet python"
greenfly,TRUE,FALSE,"green frog, firefly"
greenling,TRUE,FALSE,"kelp greenling, greenland dog"
greenshank,TRUE,FALSE,"green snake, greenland shark, reef shark"
grenadier,FALSE,FALSE,No close match found
grey squirrel,TRUE,FALSE,"red squirrel, ground squirrel, squirrel"
grey whale,TRUE,FALSE,"sei whale, grey seal, grey heron"
greyhound,TRUE,TRUE,"greyhound, grey heron, italian greyhound"
greylag goose,FALSE,FALSE,No close match found
griffon,TRUE,FALSE,"griffonshire, grunion"
griffon vulture,TRUE,TRUE,"griffon vulture, king vulture, egyptian vulture"
grizzly,TRUE,FALSE,grizzly bear
grizzly bear,TRUE,TRUE,grizzly bear
grosbeak,TRUE,FALSE,"blue grosbeak, grouse, goshawk"
ground hog,TRUE,FALSE,groundhog tick
ground squirrel,TRUE,TRUE,"ground squirrel, uinta ground squirrel, red squirrel"
groundfish,TRUE,FALSE,"goldfish, codfish, green sunfish"
groundhog,TRUE,FALSE,"groundhog tick, greyhound"
grouper,TRUE,TRUE,"grouper, grouse, gopher"
grouse,TRUE,TRUE,"grouse, grouper, mouse"
grub,TRUE,FALSE,grebe
grunt,TRUE,FALSE,"grunion, gnat"
guan,TRUE,FALSE,"iguana, human"
guanaco,TRUE,FALSE,"iguana, anaconda"
gudgeon,TRUE,FALSE,sturgeon
guenon,TRUE,FALSE,"grunion, pigeon, iguanodon"
guerrilla,TRUE,FALSE,"gorilla, gerbil"
guillemot,FALSE,FALSE,No close match found
guinea fowl,TRUE,TRUE,"guinea fowl, junglefowl, guinea pig"
guinea hen,TRUE,FALSE,"guinea pig, guinea fowl"
guinea pig,TRUE,TRUE,"guinea pig, teddy guinea pig, peruvian guinea pig"
guinea worm,TRUE,FALSE,"guinea fowl, guinea pig"
guineafowl,TRUE,FALSE,"guinea fowl, junglefowl"
gull,TRUE,FALSE,"seagull, quoll"
gumboot chiton,FALSE,FALSE,No close match found
gunnel,FALSE,FALSE,No close match found
guppy,TRUE,TRUE,guppy
gurnard,FALSE,FALSE,No close match found
gypsy moth,TRUE,TRUE,"gypsy moth, puss moth, spongy moth"
gyrfalcon,TRUE,FALSE,falcon
hackney,FALSE,FALSE,No close match found
haddock,TRUE,TRUE,haddock
hadrosaur,TRUE,FALSE,"barosaurus, tarbosaurus, hainosaurus"
hagfish,TRUE,TRUE,"hagfish, hogfish, angelfish"
hairless cat,FALSE,FALSE,No close match found
hairstreak,FALSE,FALSE,No close match found
hairstreak butterfly,TRUE,FALSE,"white butterfly, admiral butterfly, peacock butterfly"
hairy woodpecker,TRUE,TRUE,"hairy woodpecker, woodpecker, downy woodpecker"
hake,TRUE,FALSE,"hawk, hare, snake"
halcyon,TRUE,FALSE,falcon
halibut,TRUE,TRUE,halibut
hammerhead,TRUE,FALSE,"hammerhead worm, hammerhead shark"
hammerhead shark,TRUE,TRUE,"hammerhead shark, great hammerhead shark, smooth hammerhead shark"
hamster,TRUE,TRUE,"hamster, dwarf hamster, syrian hamster"
hanover hound,TRUE,FALSE,"afghan hound, otterhound, pharaoh hound"
harambe,TRUE,FALSE,hare
harbor porpoise,TRUE,TRUE,"harbor porpoise, harbor seal"
harbor seal,TRUE,TRUE,"harbor seal, harp seal, harbor porpoise"
hare,TRUE,TRUE,"hare, harrier, shrew"
harp seal,TRUE,TRUE,"harp seal, harpy eagle, harbor seal"
harpy eagle,TRUE,TRUE,"harpy eagle, harp seal, peagle"
harrier,TRUE,TRUE,"harrier, hare, terrier"
hart,TRUE,FALSE,"hare, shark, hovawart"
hartebeest,TRUE,TRUE,hartebeest
havanese dog,TRUE,FALSE,"havanese, javanese"
hawk,TRUE,TRUE,"hawk, goshawk, shark"
hawk moth,TRUE,FALSE,"wax moth, oleander hawk moth, luna moth"
hawk owl,TRUE,FALSE,"tawny owl, hawk"
hawkmoth,TRUE,FALSE,"moth, hawk"
hawksbill,FALSE,FALSE,No close match found
hawksbill turtle,TRUE,FALSE,spiny hill turtle
heath hen,FALSE,FALSE,No close match found
hedgehog,TRUE,TRUE,hedgehog
heifer,TRUE,FALSE,eider
hellbender,TRUE,TRUE,hellbender
helminth,FALSE,FALSE,No close match found
hen,TRUE,FALSE,"hyena, heron"
hen harrier,TRUE,FALSE,"northern harrier, harrier, wheaten terrier"
hermit,TRUE,FALSE,"termite, hermit crab, ermine"
hermit crab,TRUE,TRUE,"hermit crab, yeti crab, strawberry hermit crab"
hermit thrush,TRUE,FALSE,hermit crab
heron,TRUE,TRUE,"heron, herring, grey heron"
herring,TRUE,TRUE,"herring, herring gull, heron"
herring gull,TRUE,TRUE,"herring gull, herring"
hexapod,TRUE,FALSE,theropod
hinny,FALSE,FALSE,No close match found
hippo,TRUE,FALSE,"chipoo, whippet"
hippopotamus,TRUE,TRUE,"hippopotamus, pygmy hippopotamus, hippopotamus gorgops"
hoary marmot,TRUE,FALSE,"hoary bat, olympic marmot, marmot"
hoatzin,TRUE,FALSE,coati
hog,TRUE,FALSE,"horgi, dog"
hogfish,TRUE,TRUE,"hogfish, hagfish, frogfish"
hogg,TRUE,FALSE,horgi
hogget,TRUE,FALSE,"hornet, boggle"
hognose snake,TRUE,TRUE,"hognose snake, plains hognose snake, western hognose snake"
hogs,TRUE,FALSE,"hogfish, horse, horgi"
holstein,FALSE,FALSE,No close match found
homing pigeon,FALSE,FALSE,No close match found
hominid,TRUE,FALSE,hummingbird
hominoid,FALSE,FALSE,No close match found
homo erectus,FALSE,FALSE,No close match found
homo habilis,FALSE,FALSE,No close match found
homo sapiens,TRUE,FALSE,hobo spider
honey badger,TRUE,TRUE,"honey badger, honey bee, horned adder"
honey bee,TRUE,TRUE,"honey bee, honey badger, horned beetle"
honey buzzard,TRUE,TRUE,"honey buzzard, common buzzard, honey badger"
honeybee,TRUE,FALSE,"honey bee, honey badger, horned beetle"
honeycreeper,TRUE,FALSE,"treecreeper, honey bee"
hooded merganser,TRUE,FALSE,"merganser, hooded seal"
hoofed mammal,TRUE,FALSE,hooded seal
hookworm,TRUE,FALSE,worm
hoopoe,TRUE,TRUE,hoopoe
hoot owl,FALSE,FALSE,No close match found
hornbill,TRUE,TRUE,"hornbill, gorilla"
horned dinosaur,TRUE,FALSE,"horned lizard, horned viper, horned adder"
horned lizard,TRUE,TRUE,"horned lizard, sand lizard, frilled lizard"
horned owl,TRUE,FALSE,"short-eared owl, barred owl, horned lizard"
horned toad,TRUE,FALSE,"horned adder, horned lizard, marine toad"
hornet,TRUE,TRUE,"hornet, horse"
horse,TRUE,TRUE,"horse, zorse, seahorse"
horsefly,TRUE,TRUE,"horsefly, housefly, horse"
horsehead,TRUE,FALSE,"horse, horseshoe crab"
horseshoe crab,TRUE,TRUE,"horseshoe crab, stone crab, ghost crab"
hound,TRUE,FALSE,"greyhound, otterhound, bloodhound"
hound dog,FALSE,FALSE,No close match found
housefly,TRUE,TRUE,"housefly, horsefly"
hoverfly,TRUE,FALSE,"housefly, horsefly"
howler monkey,TRUE,TRUE,"howler monkey, woolly monkey, vervet monkey"
howling monkey,TRUE,FALSE,"howler monkey, woolly monkey"
human,TRUE,TRUE,"human, puma"
human being,FALSE,FALSE,No close match found
hummingbird,TRUE,TRUE,"hummingbird, rufous hummingbird, annas hummingbird"
hummingbird moth,TRUE,FALSE,"hummingbird hawk-moth, hummingbird"
humpback whale,TRUE,TRUE,humpback whale
humuhumunukunukuapua,FALSE,FALSE,No close match found
huntsman,TRUE,FALSE,"human, huntsman spider"
huntsman spider,TRUE,TRUE,"huntsman spider, sea spider, cane spider"
huskie,TRUE,FALSE,"huskita, husky, chusky"
huskies,TRUE,FALSE,"huskita, husky"
husky,TRUE,TRUE,"husky, chusky, alusky"
hydra,FALSE,FALSE,No close match found
hyena,TRUE,TRUE,"hyena, rhea"
hyenas,TRUE,FALSE,hyena
hyrax,TRUE,FALSE,rock hyrax
ibex,TRUE,TRUE,ibex
ibis,TRUE,TRUE,"ibis, oribi, bison"
ichthyosaur,TRUE,FALSE,"ichthyosaurus, ichthyostega, tylosaurus"
iguana,TRUE,TRUE,"iguana, blue iguana, iguanodon"
imago,TRUE,FALSE,maggot
impala,TRUE,TRUE,"impala, himalayan"
inchworm,TRUE,TRUE,"inchworm, worm"
indigo bunting,TRUE,FALSE,"snow bunting, painted bunting"
indigo snake,TRUE,TRUE,"indigo snake, king snake, texas indigo snake"
indri,TRUE,TRUE,"indri, aidi"
insect,TRUE,TRUE,"insect, insects, stick insect"
invertebrate,TRUE,FALSE,river turtle
isopod,TRUE,FALSE,"sauropoda, sauropoda, giant isopod"
itch mite,FALSE,FALSE,No close match found
ivory billed,FALSE,FALSE,No close match found
ivory gull,FALSE,FALSE,No close match found
jabiru,TRUE,TRUE,"jabiru, babirusa"
jack,TRUE,FALSE,"jackal, jackdaw, jackabee"
jack crevalle,TRUE,TRUE,"jack crevalle, jack russells"
jack mackerel,TRUE,FALSE,"king mackerel, jack crevalle, spanish mackerel"
jack rabbit,TRUE,FALSE,"jackrabbit, rabbit, dutch rabbit"
jack russell,TRUE,FALSE,"jack russells, jack crevalle"
jack russell terrier,TRUE,FALSE,"russell terrier, parson russell terrier, black russian terrier"
jackal,TRUE,TRUE,"jackal, jackdaw, jackabee"
jackalope,TRUE,FALSE,"jackal, jackabee"
jackass,TRUE,FALSE,"jackal, jackdaw, black bass"
jackass penguin,TRUE,FALSE,"african penguin, macaroni penguin, galapagos penguin"
jackdaw,TRUE,TRUE,"jackdaw, jackal, macaw"
jackrabbit,TRUE,TRUE,"jackrabbit, rabbit, krait"
jaguar,TRUE,TRUE,"jaguar, gar"
jaguarundi,TRUE,FALSE,"jaguarundi cat, jaguar"
javelina,TRUE,FALSE,cave lion
jawless fish,TRUE,FALSE,"wels catfish, walleye fish"
jay,FALSE,FALSE,No close match found
jaybird,TRUE,FALSE,"jabiru, bird, lyrebird"
jellyfish,TRUE,TRUE,"jellyfish, box jellyfish, moon jellyfish"
jerboa,TRUE,TRUE,"jerboa, viper boa"
jewfish,TRUE,FALSE,"jellyfish, fish, sawfish"
jigger,TRUE,FALSE,"chigger, tiger, liger"
joey,FALSE,FALSE,No close match found
junco,FALSE,FALSE,No close match found
june beetle,TRUE,FALSE,"pine beetle, dung beetle, green june beetle"
june bug,FALSE,FALSE,No close match found
jungle fowl,TRUE,FALSE,junglefowl
kangaroo,TRUE,TRUE,"kangaroo, kangaroo rat, tree kangaroo"
kangaroo rat,TRUE,TRUE,"kangaroo rat, kangaroo, kangaroo mouse"
karakul,FALSE,FALSE,No close match found
katydid,TRUE,TRUE,katydid
kea,TRUE,TRUE,"kea, keagle"
keeshond,TRUE,TRUE,keeshond
kelp greenling,TRUE,TRUE,kelp greenling
kelpie,TRUE,FALSE,"koolie, keagle"
kestrel,TRUE,TRUE,kestrel
keyhole limpet,TRUE,FALSE,keyhole cichlid
kid,FALSE,FALSE,No close match found
killdeer,TRUE,TRUE,"killdeer, deer"
killer bee,TRUE,FALSE,"killer whale, killdeer"
killer whale,TRUE,TRUE,"killer whale, false killer whale, blue whale"
killifish,TRUE,TRUE,"killifish, oilfish, sailfish"
king cobra,TRUE,TRUE,"king cobra, king crab, spitting cobra"
king crab,TRUE,TRUE,"king crab, king cobra, yeti crab"
king mackerel,TRUE,TRUE,"king mackerel, king snake, spanish mackerel"
king salmon,TRUE,TRUE,"king salmon, pink salmon, keta salmon"
kingbird,TRUE,FALSE,"mockingbird, hummingbird, western kingbird"
kingfish,TRUE,FALSE,"kingfisher, pinfish, lungfish"
kingfisher,TRUE,TRUE,"kingfisher, fisher, ringed kingfisher"
kingsnake,TRUE,FALSE,"king snake, king rat snake, indigo snake"
kinkajou,TRUE,TRUE,kinkajou
kite,TRUE,FALSE,"red kite, krait, akita"
kitfox,TRUE,FALSE,"kit fox, fox"
kitten,FALSE,FALSE,No close match found
kittiwake,FALSE,FALSE,No close match found
kitty,FALSE,FALSE,No close match found
kitty cat,FALSE,FALSE,No close match found
kiwi,TRUE,TRUE,kiwi
koala,TRUE,TRUE,koala
koala bear,TRUE,FALSE,"polar bear, polar bear, kodiak bear"
kodiak,TRUE,FALSE,"kodiak bear, kodkod"
kodiak bear,TRUE,TRUE,"kodiak bear, polar bear, polar bear"
