Word,Found,Original Found,Close Matches
collie,True,True,"collie, collided, mollie"
colobus monkey,False,False,No close match found
colt,True,True,"colt, colts, cot"
coney,True,True,"coney, corney, convey"
conger eel,True,False,"mongrel, congeal, conversely"
coral,True,True,"coral, corral, corals"
cougar,True,True,"cougar, sugar, scour"
courser,True,True,"courser, coursers, course"
cow,True,True,"cow, crow, cows"
cows,True,True,"cows, crows, cow's"
coyote,True,True,"coyote, coyotes, cote"
crab,True,True,"crab, crabs, cab"
crabs,True,True,"crabs, crab, cabs"
crane,True,True,"crane, cranes, craned"
crawfish,True,True,"crawfish, crayfish, crash"
crayfish,True,True,"crayfish, crawfish, grayish"
crays,True,False,"rays, trays, ray's"
creature,True,True,"creature, creatures, creature's"
cricket,True,True,"cricket, crickets, cricketer"
critter,True,True,"critter, crier, fritters"
croc,True,False,"crock, croce, roc"
crocodile,True,True,"crocodile, crocodiles, crocodile's"
crocodiles,True,True,"crocodiles, crocodile's, crocodile"
crow,True,True,"crow, crows, crown"
cub,True,True,"cub, curb, cubs"
cuckoo,True,True,"cuckoo, cuzco, cluck"
curlew,True,True,"curlew, curled, curfew"
cuttlefish,True,True,"cuttlefish, scuttle, cutters"
dachshund,True,False,"dashed, asmund"
dairy cattle,True,False,"rattle, dartle, cattle"
dairy cow,True,False,"dairy, darrow"
dairy cows,True,False,"darrow's, dairy"
dairy herd,True,False,"dared, dairy, aired"
dart frogs,True,False,"darters, armstrongs, frogs"
dear,True,True,"dear, idear, drear"
deer,True,True,"deer, deter, defer"
deerhound,True,True,"deerhound, deronda, round"
devil,True,True,"devil, devils, evil"
dinosaur,True,False,"insure, disarm, dinars"
doberman,True,False,"dormant, nobleman, derriman"
doberman pinscher,False,False,No close match found
dodo,True,True,"dodo, odo, doo"
doe,True,True,"doe, doze, dove"
dog,True,True,"dog, dong, dogs"
dogs,True,True,"dogs, dog's, ogs"
dolphin,True,True,"dolphin, dolphins, godolphin"
dolphins,True,True,"dolphins, dolphin, godolphin"
domingo,True,True,"domingo, domino, doing"
donkey,True,True,"donkey, donkeys, donkey's"
dormouse,True,True,"dormouse, odorous, rouse"
dory,True,True,"dory, dowry, dorry"
dove,True,True,"dove, drove, doves"
downer cow,True,False,"owner, downtown, dower"
dragon,True,True,"dragon, dragoon, dragons"
dragonfly,True,False,"dragon, dragoon, dragons"
drake,True,True,"drake, draken, rake"
dromedary,True,True,"dromedary, dreary, someday"
duck,True,True,"duck, ducks, duc"
duckling,True,True,"duckling, ducklings, ducking"
ducks,True,True,"ducks, duck, tucks"
duiker,True,False,"duke, dike, quicker"
dulary,True,False,"duly, dullard, larry"
dungeness crabs,False,False,No close match found
eagle,True,True,"eagle, eagles, beagle"
eel,True,True,"eel, weel, reel"
eels,True,True,"eels, reels, heels"
eider,True,True,"eider, wider, rider"
eight legged oracle,False,False,No close match found
elephant,True,True,"elephant, elephants, elephant's"
elephant rhinoceros,True,False,rhinoceros
elephants,True,True,"elephants, elephant's, elephant"
elk,True,True,"elk, el, welkin"
emperor scorpion,True,False,"proscription, superscription, scorpion"
endangered tigers,True,False,"endangered, endangering"
equine,True,False,"quiney, quince, euxine"
equines,True,False,"sequins, quinces, requires"
ermine,True,True,"ermine, germaine, vermin"
ewe,True,True,"ewe, ewes, ewer"
extinct tasmanian,True,False,extinction
falcon,True,True,"falcon, falcons, falconer"
fawn,True,True,"fawn, fawns, fan"
feathered friends,True,False,feathered
