Word1,Word2,Value
adder,scorpion,1
adder,scorpions,0
adder,seal,0
adder,serpent,1
adder,shad,0
adder,shark,1
adder,sharks,1
adder,sheep,1
adder,shellfish,1
adder,shepherd,0
adder,shrew,0
adder,shrimp,1
adder,siamese,0
adder,siberian,0
adder,silkworm,0
adder,skate,1
adder,skunk,1
adder,skylark,1
adder,sloth,0
adder,slug,0
adder,smelt,1
adder,snail,1
adder,snake,1
adder,snakes,0
adder,snapper,1
adder,snipe,1
adder,sow,0
adder,spaniel,0
adder,sparrow,1
adder,spider,0
adder,spiders,0
adder,sponge,0
adder,sprat,1
adder,squab,1
adder,squirrel,1
adder,stag,1
adder,stallion,0
adder,stallions,0
adder,starfish,1
adder,starling,1
adder,steed,0
adder,steer,0
adder,stork,1
adder,sturgeon,0
adder,sunfish,1
adder,swallow,1
adder,swan,0
adder,swift,0
adder,swine,1
adder,tabby,0
adder,tadpole,1
adder,takin,0
adder,tanager,0
adder,tang,0
adder,tentacle,0
adder,tern,0
adder,terrier,0
adder,thoroughbred,0
adder,thrush,1
adder,tick,0
adder,tiger,1
adder,tigers,1
adder,titmouse,1
adder,toad,1
adder,tortoise,1
adder,tortuga,0
adder,triggerfish,1
adder,trotter,1
adder,trout,1
adder,trumpeter,0
adder,tunny,1
adder,turbot,0
adder,turkey,0
adder,turtle,1
adder,turtles,1
adder,unicorn,1
adder,urchin,0
adder,veal,1
adder,vermin,0
adder,viper,1
adder,vulture,1
adder,walrus,0
adder,warbler,1
adder,wasp,1
adder,wasps,1
adder,waterfowl,1
adder,weasel,1
adder,whale,1
adder,whales,0
adder,whelp,1
adder,whiff,1
adder,whitefish,0
adder,whiting,1
adder,wildcat,1
adder,winkle,1
adder,wolf,1
adder,wolfhound,0
adder,wolverine,1
adder,wolves,1
adder,woman,0
adder,woodchuck,1
adder,woodcock,1
adder,woodpecker,1
adder,worm,1
adder,wren,0
adder,yak,1
adder,yellowlegs,1
adder,zebra,0
albatross,alligator,1
albatross,alpaca,1
albatross,anchovies,1
albatross,anchovy,1
albatross,anemone,1
albatross,ant,0
albatross,antelope,1
albatross,antelopes,1
albatross,ants,0
albatross,ape,0
albatross,asp,0
albatross,ass,0
albatross,baboon,0
albatross,baby,0
albatross,badger,0
albatross,bantam,0
albatross,barb,1
albatross,basilisk,1
albatross,bass,0
albatross,bat,1
albatross,beagle,1
albatross,bear,0
albatross,beast,0
albatross,beaver,1
albatross,bee,0
albatross,beetle,1
albatross,beetles,1
albatross,bird,0
albatross,birds,1
albatross,bison,0
albatross,bittern,0
albatross,blackbird,1
albatross,bluebird,0
albatross,boa,1
albatross,boar,1
albatross,bombay,1
albatross,booby,0
albatross,boxer,0
albatross,brittany,0
albatross,bruin,0
albatross,buck,0
albatross,buffalo,1
albatross,bug,0
albatross,bull,1
albatross,bulldog,1
albatross,bullfrog,0
albatross,bullock,1
albatross,bumblebee,0
albatross,bunny,0
albatross,bunting,1
albatross,butterflies,1
albatross,butterfly,1
albatross,buzzard,0
albatross,calf,0
albatross,calves,1
albatross,camel,0
albatross,cameo,0
albatross,canary,0
albatross,canine,1
albatross,caplin,0
albatross,cardinal,0
albatross,caribou,1
albatross,carp,0
albatross,cat,0
albatross,caterpillar,0
albatross,caterpillars,0
albatross,cats,0
albatross,cattle,0
albatross,centipede,1
albatross,chaffinch,1
albatross,chameleon,1
albatross,chamois,1
albatross,char,0
albatross,chick,0
albatross,chickadee,1
albatross,chicken,0
albatross,chickens,0
albatross,chimaera,1
albatross,chinook,1
albatross,chipmunk,0
albatross,clam,0
albatross,cobra,1
albatross,cochineal,1
albatross,cock,0
albatross,cockle,1
albatross,cod,1
albatross,codfish,1
albatross,collie,0
albatross,colt,0
albatross,coney,1
albatross,coral,1
albatross,cougar,1
albatross,courser,1
albatross,cow,0
albatross,cows,0
albatross,coyote,0
albatross,crab,1
albatross,crabs,1
albatross,crane,1
albatross,crawfish,1
albatross,crayfish,1
albatross,creature,0
albatross,cricket,0
albatross,critter,0
albatross,crocodile,1
albatross,crocodiles,1
albatross,crow,0
albatross,cub,0
albatross,cuckoo,1
albatross,curlew,1
albatross,cuttlefish,1
albatross,dear,0
albatross,deer,1
albatross,deerhound,1
albatross,devil,0
albatross,dodo,0
albatross,doe,0
albatross,dog,0
albatross,dogs,0
albatross,dolphin,1
albatross,dolphins,1
albatross,domingo,1
albatross,donkey,0
albatross,dormouse,0
albatross,dory,0
albatross,dove,0
albatross,dragon,0
albatross,drake,0
albatross,dromedary,1
albatross,duck,1
albatross,duckling,1
albatross,ducks,1
albatross,eagle,1
albatross,eel,1
albatross,eels,1
albatross,eider,1
albatross,elephant,0
albatross,elephants,1
albatross,elk,1
albatross,ermine,1
albatross,ewe,1
albatross,falcon,1
albatross,fawn,0
albatross,feline,1
albatross,ferret,0
albatross,filly,0
albatross,finch,1
albatross,firefly,1
albatross,fish,1
albatross,fisher,0
albatross,fishes,1
albatross,flea,1
albatross,flies,1
albatross,flounder,0
albatross,fly,0
albatross,flycatcher,0
albatross,foal,1
albatross,foals,1
albatross,fossil,1
albatross,fowl,1
albatross,fox,0
albatross,foxes,1
albatross,foxhound,1
albatross,frog,0
albatross,frogs,0
albatross,fungi,1
albatross,fungus,1
albatross,gal,0
albatross,gamecock,1
albatross,gander,0
albatross,gar,0
albatross,gazelle,1
albatross,geese,1
albatross,giant,0
albatross,gibbon,0
albatross,glaucus,0
albatross,gnat,0
albatross,goat,0
albatross,goats,0
albatross,goby,0
albatross,goldfinch,1
albatross,goldfish,1
albatross,goose,0
albatross,gopher,0
albatross,gorilla,0
albatross,grasshopper,1
albatross,grasshoppers,1
albatross,grenadier,1
albatross,greyhound,1
albatross,grizzly,1
albatross,grosbeak,0
albatross,grouse,1
albatross,grub,0
albatross,grunt,0
albatross,guanaco,1
albatross,guerrilla,1
albatross,guinea,1
albatross,gull,1
albatross,hackney,0
albatross,haddock,0
albatross,halcyon,1
albatross,hare,0
albatross,hart,0
albatross,hawk,1
albatross,hedgehog,0
albatross,heifer,1
albatross,hen,0
albatross,herd,0
albatross,hermit,0
albatross,heron,0
albatross,herring,1
albatross,hippopotamus,1
albatross,hog,1
albatross,hogs,1
