Speech2vec Vocab,Speech2vec Pairwise Cosine Similarity,Word2vec Vocab,Word2vec Pairwise Cosine Similarity
human,,human,
cold,,cold,
reached,,reached,
appeared,,appeared,
return,,return,
opened,,opened,
pretty,,pretty,
law,,law,
i've,,i've,
saying,,saying,
met,,met,
sound,,sound,
talk,,talk,
need,,need,
continued,,continued,
road,,road,
carried,,carried,
tree,,tree,
run,,run,
war,,war,
river,,river,
eye,,eye,
wanted,,wanted,
show,,show,
certainly,,certainly,
street,,street,
hold,,hold,
past,,past,
daughter,,daughter,
sense,,sense,
low,,low,
john,,john,
deep,,deep,
bad,,bad,
ought,,ought,
feeling,,feeling,
cut,,cut,
book,,book,
remember,,remember,
toward,,toward,
fellow,,fellow,
gold,,gold,
neither,,neither,
lived,,lived,
hours,,hours,
seven,,seven,
free,,free,
won't,,won't,
entered,,entered,
tried,,tried,
blue,,blue,
clear,,clear,
blood,,blood,
added,,added,
green,,green,
none,,none,
church,,church,
happened,,happened,
walked,,walked,
cause,,cause,
interest,,interest,
although,,although,
wind,,wind,
sleep,,sleep,
glad,,glad,
seems,,seems,
yourself,,yourself,
later,,later,
husband,,husband,
doing,,doing,
further,,further,
received,,received,
beyond,,beyond,
party,,party,
seem,,seem,
subject,,subject,
living,,living,
laid,,laid,
nearly,,nearly,
trees,,trees,
age,,age,
number,,number,
meet,,meet,
foot,,foot,
forward,,forward,
early,,early,
eighteen,,eighteen,
except,,except,
uncle,,uncle,
princess,,princess,
thinking,,thinking,
arm,,arm,
minutes,,minutes,
front,,front,
afraid,,afraid,
line,,line,
smile,,smile,
ah,,ah,
late,,late,
pleasure,,pleasure,
real,,real,
seeing,,seeing,
fall,,fall,
silence,,silence,
there's,,there's,
trouble,,trouble,
try,,try,
stand,,stand,
exclaimed,,exclaimed,
miles,,miles,
led,,led,
account,,account,
drew,,drew,
spirit,,spirit,
bear,,bear,
england,,england,
heavy,,heavy,
standing,,standing,
mine,,mine,
necessary,,necessary,
fair,,fair,
gentleman,,gentleman,
wild,,wild,
common,,common,
hardly,,hardly,
eight,,eight,
caught,,caught,
stopped,,stopped,
sister,,sister,
change,,change,
instead,,instead,
english,,english,
queen,,queen,
public,,public,
self,,self,
grew,,grew,
ago,,ago,
ill,,ill,
he's,,he's,
garden,,garden,
character,,character,
de,,de,
forth,,forth,
play,,play,
besides,,besides,
natural,,natural,
position,,position,
beauty,,beauty,
thirty,,thirty,
attention,,attention,
chance,,chance,
loved,,loved,
purpose,,purpose,
comes,,comes,
sitting,,sitting,
please,,please,
school,,school,
whatever,,whatever,
ship,,ship,
girls,,girls,
struck,,struck,
court,,court,
knowledge,,knowledge,
wood,,wood,
thoughts,,thoughts,
walk,,walk,
fifty,,fifty,
force,,force,
getting,,getting,
mouth,,mouth,
length,,length,
art,,art,
aunt,,aunt,
wait,,wait,
tom,,tom,
dinner,,dinner,
immediately,,immediately,
stay,,stay,
ye,,ye,
pass,,pass,
tears,,tears,
boys,,boys,
save,,save,
slowly,,slowly,
wonder,,wonder,
company,,company,
deal,,deal,
died,,died,
mary,,mary,
eat,,eat,
wall,,wall,
chair,,chair,
bright,,bright,
quickly,,quickly,
third,,third,
paper,,paper,
beside,,beside,
tone,,tone,
view,,view,
sweet,,sweet,
placed,,placed,
lips,,lips,
die,,die,
filled,,filled,
distance,,distance,
strength,,strength,
makes,,makes,
desire,,desire,
stone,,stone,
hall,,hall,
effect,,effect,
you're,,you're,
following,,following,
remained,,remained,
rich,,rich,
laughed,,laughed,
london,,london,
food,,food,
floor,,floor,
act,,act,
government,,government,
broken,,broken,
easy,,easy,
waiting,,waiting,
knows,,knows,
dog,,dog,
pay,,pay,
top,,top,
started,,started,
chief,,chief,
object,,object,
horses,,horses,
palace,,palace,
boat,,boat,
glass,,glass,
talking,,talking,
man's,,man's,
impossible,,impossible,
count,,count,
piece,,piece,
army,,army,
send,,send,
heaven,,heaven,
corner,,corner,
society,,society,
follow,,follow,
wrong,,wrong,
saint,,saint,
fast,,fast,
secret,,secret,
turning,,turning,
straight,,straight,
service,,service,
margaret,,margaret,
opinion,,opinion,
outside,,outside,
quiet,,quiet,
nine,,nine,
french,,french,
appearance,,appearance,
below,,below,
joy,,joy,
bit,,bit,
showed,,showed,
couldn't,,couldn't,
running,,running,
greater,,greater,
dress,,dress,
presence,,presence,
single,,single,
probably,,probably,
dream,,dream,
danger,,danger,
wished,,wished,
married,,married,
arrived,,arrived,
sudden,,sudden,
clothes,,clothes,
peace,,peace,
giving,,giving,
soft,,soft,
usual,,usual,
months,,months,
moved,,moved,
speaking,,speaking,
stop,,stop,
cry,,cry,
sit,,sit,
silent,,silent,
covered,,covered,
morrow,,morrow,
conversation,,conversation,
step,,step,
watch,,watch,
wide,,wide,
anne,,anne,
expression,,expression,
fight,,fight,
easily,,easily,
beginning,,beginning,
afternoon,,afternoon,
sky,,sky,
chapter,,chapter,
duty,,duty,
week,,week,
carry,,carry,
scarcely,,scarcely,
terrible,,terrible,
figure,,figure,
raised,,raised,
leaving,,leaving,
simple,,simple,
threw,,threw,
flowers,,flowers,
perfect,,perfect,
trying,,trying,
youth,,youth,
hot,,hot,
island,,island,
box,,box,
according,,according,
expected,,expected,
south,,south,
forty,,forty,
pale,,pale,
battle,,battle,
especially,,especially,
spring,,spring,
fresh,,fresh,
ladies,,ladies,
evil,,evil,
snow,,snow,
twelve,,twelve,
office,,office,
surprise,,surprise,
learned,,learned,
isn't,,isn't,
write,,write,
written,,written,
killed,,killed,
places,,places,
particular,,particular,
entirely,,entirely,
direction,,direction,
minute,,minute,
happiness,,happiness,
action,,action,
unless,,unless,
books,,books,
you'll,,you'll,
forest,,forest,
wonderful,,wonderful,
cross,,cross,
brown,,brown,
shook,,shook,
perfectly,,perfectly,
visit,,visit,
golden,,golden,
closed,,closed,
merely,,merely,
steps,,steps,
meant,,meant,
field,,field,
history,,history,
music,,music,
understood,,understood,
grace,,grace,
north,,north,
born,,born,
simply,,simply,
states,,states,
instant,,instant,
pleasant,,pleasant,
note,,note,
thank,,thank,
wouldn't,,wouldn't,
changed,,changed,
finally,,finally,
mountain,,mountain,
experience,,experience,
condition,,condition,
bird,,bird,
observed,,observed,
afterwards,,afterwards,
persons,,persons,
shot,,shot,
fortune,,fortune,
lying,,lying,
broke,,broke,
occasion,,occasion,
neck,,neck,
marriage,,marriage,
peter,,peter,
beneath,,beneath,
escape,,escape,
plain,,plain,
silver,,silver,
news,,news,
latter,,latter,
worth,,worth,
o'clock,,o'clock,
allowed,,allowed,
lives,,lives,
spot,,spot,
hat,,hat,
winter,,winter,
sorry,,sorry,
middle,,middle,
father's,,father's,
hill,,hill,
future,,future,
presently,,presently,
circumstances,,circumstances,
reach,,reach,
worse,,worse,
bread,,bread,
i'd,,i'd,
letters,,letters,
passing,,passing,
summer,,summer,
pleased,,pleased,
reply,,reply,
darkness,,darkness,
important,,important,
madame,,madame,
legs,,legs,
tea,,tea,
pocket,,pocket,
drink,,drink,
remain,,remain,
dressed,,dressed,
moon,,moon,
lie,,lie,
warm,,warm,
walls,,walls,
forget,,forget,
exactly,,exactly,
discovered,,discovered,
pain,,pain,
shut,,shut,
marry,,marry,
mere,,mere,
iron,,iron,
dropped,,dropped,
smiled,,smiled,
respect,,respect,
promise,,promise,
breath,,breath,
wise,,wise,
knowing,,knowing,
journey,,journey,
laugh,,laugh,
heads,,heads,
ears,,ears,
existence,,existence,
safe,,safe,
regard,,regard,
begin,,begin,
tall,,tall,
leaves,,leaves,
spite,,spite,
determined,,determined,
grave,,grave,
seat,,seat,
shore,,shore,
listen,,listen,
bank,,bank,
creature,,creature,
enemy,,enemy,
wrote,,wrote,
faith,,faith,
considered,,considered,
fish,,fish,
houses,,houses,
tired,,tired,
sharp,,sharp,
repeated,,repeated,
nobody,,nobody,
drawing,,drawing,
paid,,paid,
hung,,hung,
birds,,birds,
knight,,knight,
fixed,,fixed,
various,,various,
quick,,quick,
bound,,bound,
sword,,sword,
believed,,believed,
game,,game,
camp,,camp,
sad,,sad,
castle,,castle,
somewhat,,somewhat,
village,,village,
decided,,decided,
remembered,,remembered,
yellow,,yellow,
grass,,grass,
declared,,declared,
parts,,parts,
cast,,cast,
surely,,surely,
scene,,scene,
gate,,gate,
difficult,,difficult,
greatest,,greatest,
influence,,influence,
west,,west,
sake,,sake,
evidently,,evidently,
cat,,cat,
soldiers,,soldiers,
drawn,,drawn,
sign,,sign,
ancient,,ancient,
notice,,notice,
looks,,looks,
ways,,ways,
appear,,appear,
likely,,likely,
difficulty,,difficulty,
holding,,holding,
picture,,picture,
angry,,angry,
spoken,,spoken,
learn,,learn,
former,,former,
watched,,watched,
board,,board,
result,,result,
proper,,proper,
crowd,,crowd,
finished,,finished,
thick,,thick,
laws,,laws,
train,,train,
nice,,nice,
fifteen,,fifteen,
bottom,,bottom,
anxious,,anxious,
rock,,rock,
ideas,,ideas,
bell,,bell,
inside,,inside,
colonel,,colonel,
formed,,formed,
you've,,you've,
path,,path,
fallen,,fallen,
ourselves,,ourselves,
space,,space,
carriage,,carriage,
gentlemen,,gentlemen,
private,,private,
break,,break,
wine,,wine,
waited,,waited,
windows,,windows,
carefully,,carefully,
success,,success,
noise,,noise,
move,,move,
forgotten,,forgotten,
obliged,,obliged,
promised,,promised,
servant,,servant,
animal,,animal,
walking,,walking,
goes,,goes,
lose,,lose,
glance,,glance,
ones,,ones,
animals,,animals,
shoulder,,shoulder,
noticed,,noticed,
touch,,touch,
quietly,,quietly,
speech,,speech,
generally,,generally,
breakfast,,breakfast,
shoulders,,shoulders,
property,,property,
dry,,dry,
what's,,what's,
france,,france,
higher,,higher,
lad,,lad,
attempt,,attempt,
grown,,grown,
american,,american,
offered,,offered,
whispered,,whispered,
pieces,,pieces,
everybody,,everybody,
built,,built,
lower,,lower,
spent,,spent,
class,,class,
faces,,faces,
fancy,,fancy,
touched,,touched,
start,,start,
george,,george,
broad,,broad,
surprised,,surprised,
coat,,coat,
wasn't,,wasn't,
kill,,kill,
lead,,lead,
race,,race,
courage,,courage,
spread,,spread,
fingers,,fingers,
edge,,edge,
effort,,effort,
personal,,personal,
prepared,,prepared,
opportunity,,opportunity,
jane,,jane,
henry,,henry,
lovely,,lovely,
matters,,matters,
command,,command,
stranger,,stranger,
mountains,,mountains,
finding,,finding,
judge,,judge,
guard,,guard,
comfort,,comfort,
memory,,memory,
ear,,ear,
rain,,rain,
greatly,,greatly,
dare,,dare,
lot,,lot,
asleep,,asleep,
royal,,royal,
charge,,charge,
allow,,allow,
consider,,consider,
handsome,,handsome,
opposite,,opposite,
lake,,lake,
altogether,,altogether,
writing,,writing,
degree,,degree,
reading,,reading,
enter,,enter,
shadow,,shadow,
feelings,,feelings,
expect,,expect,
meeting,,meeting,
alive,,alive,
sick,,sick,
serious,,serious,
thrown,,thrown,
caused,,caused,
we'll,,we'll,
noble,,noble,
ring,,ring,
narrow,,narrow,
serve,,serve,
empty,,empty,
opening,,opening,
liked,,liked,
situation,,situation,
united,,united,
surface,,surface,
servants,,servants,
questions,,questions,
hath,,hath,
honour,,honour,
curious,,curious,
beat,,beat,
satisfied,,satisfied,
ordered,,ordered,
trust,,trust,
sides,,sides,
listened,,listened,
blow,,blow,
cousin,,cousin,
dollars,,dollars,
meaning,,meaning,
language,,language,
health,,health,
yours,,yours,
guess,,guess,
settled,,settled,
rode,,rode,
laughing,,laughing,
talked,,talked,
lifted,,lifted,
thin,,thin,
value,,value,
king's,,king's,
weather,,weather,
study,,study,
equal,,equal,
fate,,fate,
sufficient,,sufficient,
telling,,telling,
forced,,forced,
fit,,fit,
rising,,rising,
rise,,rise,
supposed,,supposed,
sixty,,sixty,
due,,due,
add,,add,
building,,building,
pride,,pride,
east,,east,
smiling,,smiling,
orders,,orders,
dick,,dick,
usually,,usually,
watching,,watching,
frightened,,frightened,
remarked,,remarked,
stairs,,stairs,
taste,,taste,
directly,,directly,
hurt,,hurt,
grow,,grow,
lines,,lines,
doesn't,,doesn't,
justice,,justice,
vain,,vain,
growing,,growing,
companion,,companion,
ordinary,,ordinary,
gathered,,gathered,
quarter,,quarter,
delight,,delight,
social,,social,
weeks,,weeks,
em,,em,
seized,,seized,
valley,,valley,
period,,period,
bent,,bent,
gray,,gray,
stream,,stream,
proud,,proud,
chamber,,chamber,
putting,,putting,
nearer,,nearer,
woods,,woods,
one's,,one's,
supper,,supper,
affairs,,affairs,
seek,,seek,
contrary,,contrary,
moving,,moving,
streets,,streets,
honor,,honor,
pray,,pray,
burst,,burst,
passage,,passage,
offer,,offer,
imagine,,imagine,
paris,,paris,
happen,,happen,
ice,,ice,
twice,,twice,
plan,,plan,
skin,,skin,
papa,,papa,
catch,,catch,
receive,,receive,
loss,,loss,
gentle,,gentle,
hole,,hole,
complete,,complete,
jack,,jack,
loud,,loud,
monsieur,,monsieur,
passion,,passion,
month,,month,
proved,,proved,
pity,,pity,
pulled,,pulled,
kitchen,,kitchen,
heat,,heat,
movement,,movement,
authority,,authority,
fashion,,fashion,
engaged,,engaged,
duke,,duke,
york,,york,
brothers,,brothers,
square,,square,
stick,,stick,
nose,,nose,
stones,,stones,
aside,,aside,
prove,,prove,
difference,,difference,
calm,,calm,
search,,search,
possession,,possession,
grand,,grand,
instance,,instance,
she's,,she's,
working,,working,
doors,,doors,
flew,,flew,
rate,,rate,
kingdom,,kingdom,
played,,played,
aware,,aware,
conduct,,conduct,
distant,,distant,
interesting,,interesting,
breast,,breast,
busy,,busy,
william,,william,
tongue,,tongue,
wore,,wore,
worked,,worked,
excellent,,excellent,
explained,,explained,
moments,,moments,
named,,named,
attack,,attack,
seated,,seated,
instantly,,instantly,
holy,,holy,
mistress,,mistress,
naturally,,naturally,
necessity,,necessity,
confidence,,confidence,
habit,,habit,
agreed,,agreed,
nevertheless,,nevertheless,
dogs,,dogs,
hearing,,hearing,
vast,,vast,
special,,special,
takes,,takes,
system,,system,
keeping,,keeping,
produced,,produced,
shape,,shape,
disappeared,,disappeared,
clean,,clean,
baby,,baby,
mark,,mark,
haven't,,haven't,
throw,,throw,
hills,,hills,
fly,,fly,
ball,,ball,
gods,,gods,
unknown,,unknown,
smoke,,smoke,
falling,,falling,
worthy,,worthy,
pure,,pure,
wants,,wants,
spirits,,spirits,
evidence,,evidence,
liberty,,liberty,
mighty,,mighty,
particularly,,particularly,
song,,song,
draw,,draw,
storm,,storm,
weak,,weak,
officers,,officers,
brave,,brave,
post,,post,
advantage,,advantage,
sought,,sought,
powers,,powers,
terror,,terror,
drive,,drive,
possibly,,possibly,
names,,names,
officer,,officer,
terms,,terms,
occurred,,occurred,
ceased,,ceased,
drove,,drove,
fond,,fond,
otherwise,,otherwise,
bill,,bill,
knees,,knees,
grey,,grey,
lies,,lies,
paused,,paused,
required,,required,
flower,,flower,
failed,,failed,
forms,,forms,
gives,,gives,
stars,,stars,
faint,,faint,
carrying,,carrying,
teeth,,teeth,
shown,,shown,
measure,,measure,
pointed,,pointed,
march,,march,
example,,example,
pair,,pair,
finger,,finger,
softly,,softly,
tail,,tail,
mother's,,mother's,
possessed,,possessed,
prison,,prison,
cases,,cases,
affair,,affair,
principle,,principle,
shouted,,shouted,
intended,,intended,
hearts,,hearts,
indian,,indian,
satisfaction,,satisfaction,
fool,,fool,
dust,,dust,
soldier,,soldier,
tender,,tender,
despair,,despair,
singing,,singing,
honest,,honest,
main,,main,
false,,false,
freedom,,freedom,
seventeen,,seventeen,
succeeded,,succeeded,
works,,works,
unto,,unto,
rocks,,rocks,
farther,,farther,
leading,,leading,
rooms,,rooms,
events,,events,
arthur,,arthur,
gently,,gently,
sorrow,,sorrow,
shop,,shop,
major,,major,
waters,,waters,
splendid,,splendid,
maid,,maid,
dance,,dance,
mentioned,,mentioned,
seventy,,seventy,
drop,,drop,
suffering,,suffering,
excitement,,excitement,
demanded,,demanded,
religion,,religion,
mad,,mad,
america,,america,
rule,,rule,
huge,,huge,
clearly,,clearly,
slight,,slight,
advice,,advice,
charles,,charles,
fully,,fully,
papers,,papers,
yesterday,,yesterday,
hidden,,hidden,
calling,,calling,
wealth,,wealth,
presented,,presented,
prisoner,,prisoner,
powerful,,powerful,
milk,,milk,
joined,,joined,
slow,,slow,
explain,,explain,
dreadful,,dreadful,
weight,,weight,
considerable,,considerable,
voices,,voices,
peculiar,,peculiar,
needed,,needed,
advanced,,advanced,
pounds,,pounds,
resolved,,resolved,
buy,,buy,
awful,,awful,
christian,,christian,
double,,double,
conditions,,conditions,
roof,,roof,
bow,,bow,
police,,police,
shining,,shining,
christ,,christ,
sprang,,sprang,
served,,served,
station,,station,
interested,,interested,
indians,,indians,
information,,information,
fields,,fields,
importance,,importance,
president,,president,
desired,,desired,
perceived,,perceived,
mass,,mass,
cloud,,cloud,
ride,,ride,
sooner,,sooner,
absolutely,,absolutely,
yard,,yard,
sunday,,sunday,
suffered,,suffered,
completely,,completely,
moral,,moral,
imagination,,imagination,
ships,,ships,
occupied,,occupied,
curiosity,,curiosity,
